bias,conspiracy,hate,satire,junk,state
0.15105689,0.1611858,0.13852447,0.1832975,0.14284246,0.14339454
0.12725854,0.12715384,0.12159389,0.1432986,0.13084435,0.12121547
0.14949597,0.15170415,0.13926902,0.16658267,0.13882704,0.13172829
0.14145187,0.14651892,0.148391,0.17671907,0.1360568,0.12027139
0.14785422,0.14726734,0.1357832,0.17445454,0.13874973,0.13347608
0.15211119,0.14756124,0.13500996,0.16708076,0.1326668,0.14420295
0.16320354,0.15969378,0.14485303,0.18512875,0.15816212,0.13841362
0.1445908,0.1457305,0.13298482,0.15327203,0.12427728,0.13934149
0.1377819,0.13732335,0.1366851,0.13821775,0.12574117,0.14523853
0.12320525,0.13383389,0.124662265,0.14862226,0.12085286,0.12479265
0.14897849,0.14690624,0.13784829,0.14646606,0.12629269,0.14653967
0.12683548,0.13899949,0.1170964,0.1358944,0.11840221,0.11372582
0.15125416,0.15539585,0.14915189,0.16282001,0.1438465,0.15740298
0.12623021,0.13962159,0.11730799,0.14385614,0.13147643,0.12077966
0.13957371,0.14015658,0.12984163,0.17029892,0.13002752,0.12091236
0.13454713,0.13369617,0.11942731,0.1383942,0.117632404,0.13625665
0.14761037,0.15270802,0.14994352,0.1825178,0.12869471,0.14405797
0.15018287,0.15057573,0.13354258,0.15884444,0.12975165,0.14622676
0.15059695,0.15484098,0.149744,0.15678136,0.1466774,0.14128096
0.15087758,0.1624223,0.13270807,0.1534518,0.13560253,0.15066662
0.15443946,0.17130502,0.14922354,0.20934299,0.16332377,0.13334855
0.15178399,0.14185336,0.13748121,0.13980754,0.11835029,0.15087432
0.14557412,0.15103088,0.1346125,0.16701074,0.14126503,0.1327443
0.14818493,0.14375842,0.12731133,0.14690816,0.12540883,0.13587831
0.13683693,0.13778515,0.12867601,0.14635997,0.13207282,0.12696324
0.13283357,0.12528409,0.12005995,0.13322678,0.117396966,0.1242573
0.14540756,0.14882676,0.12996677,0.16150478,0.13721235,0.14174984
0.16098496,0.15524797,0.14092532,0.17612311,0.13798581,0.15426344
0.1400484,0.13490155,0.122070186,0.1638295,0.13380113,0.117347285
0.13581523,0.14062408,0.13947672,0.16279428,0.12228714,0.13011785
0.14680307,0.14974229,0.13364543,0.1460312,0.11907541,0.14425056
0.1625334,0.16778524,0.14444512,0.18921283,0.15525298,0.14055032
