bias,conspiracy,hate,satire,junk,state
0.11493273,0.1051594,0.09973693,0.102335654,0.092793934,0.115705185
0.111022614,0.11089055,0.12035449,0.13639024,0.10846076,0.12561318
0.09819953,0.10450679,0.10744418,0.12177029,0.10653893,0.115773946
0.11276621,0.11198389,0.10376709,0.14189143,0.10567878,0.100989155
0.09594506,0.10413244,0.10424135,0.12330963,0.10522481,0.107567005
0.118211836,0.11210706,0.10577659,0.116259195,0.11534349,0.13106455
0.08871347,0.09612938,0.09169498,0.10294209,0.11892671,0.08984124
0.12898327,0.12366905,0.122473925,0.11414083,0.09577656,0.14714101
0.13019104,0.12960571,0.1087417,0.09713575,0.09196406,0.13861029
0.0931655,0.097978994,0.10756544,0.10880216,0.09166581,0.11971909
0.12472502,0.12802246,0.11548097,0.13439889,0.09818553,0.12130281
0.12256258,0.11109382,0.10272229,0.1081124,0.106174715,0.13704056
0.107016265,0.10435229,0.109405056,0.12682323,0.12521899,0.11655785
0.11185002,0.10262714,0.102663316,0.120111704,0.10000742,0.11956696
0.12398973,0.1209777,0.114157185,0.11197099,0.12183449,0.12494909
0.12304413,0.11671378,0.114566915,0.11994899,0.11136869,0.13273044
0.106785245,0.11466998,0.12304219,0.132865,0.104775265,0.12560053
0.11437093,0.108761966,0.13277477,0.12578258,0.1319904,0.13819216
0.12745766,0.122534156,0.10751289,0.13214174,0.09638062,0.13636199
0.10718671,0.1134801,0.120996945,0.118995,0.11849455,0.15257408
0.12750155,0.1197273,0.108578406,0.1092998,0.113801375,0.1298725
0.09905596,0.100414164,0.09280942,0.093630984,0.11102844,0.11478016
0.11521552,0.11131864,0.10876368,0.101710275,0.09747399,0.12509568
0.08645209,0.090115614,0.08992237,0.092146225,0.112906985,0.0813543
0.10540895,0.10076945,0.10922115,0.112604365,0.10432053,0.12582837
0.11040801,0.11837486,0.111189,0.121516116,0.12469883,0.11173336
0.11081112,0.10622616,0.101179264,0.10481817,0.09705153,0.11636887
0.11031127,0.10575191,0.11038022,0.10480442,0.108292654,0.13227396
0.10760657,0.10392634,0.11191469,0.12192552,0.11464165,0.12709658
0.09779436,0.102251,0.1094236,0.11604247,0.098362654,0.10624338
0.105642356,0.10698035,0.11007814,0.11452906,0.11253394,0.128595
0.100871295,0.102066785,0.10373414,0.11115362,0.10349275,0.10534256
0.1128731,0.11474695,0.104875684,0.13990559,0.14114682,0.10464617
0.110011235,0.108632594,0.10419177,0.10208975,0.102180466,0.12961408
0.09598964,0.09686699,0.114690185,0.10716574,0.12871665,0.10490075
0.109674156,0.102640375,0.11209737,0.12766156,0.13333037,0.12630236
0.11003836,0.11876076,0.114303164,0.12938437,0.1070105,0.12254917
0.10019119,0.09915366,0.104467146,0.094450675,0.0969367,0.12630239
0.10251913,0.122811414,0.10320834,0.11534432,0.110770024,0.09905177
0.095812984,0.09852168,0.09966026,0.101354174,0.101497374,0.12346446
0.096216805,0.09480513,0.09620069,0.08890178,0.10494052,0.12060154
0.10201363,0.10233594,0.10274213,0.11195033,0.120740965,0.113974385
0.096729115,0.09033789,0.10238587,0.10335734,0.10126971,0.09720098
0.104896925,0.10403174,0.105740204,0.0936235,0.10325789,0.1259777
0.10216596,0.10120358,0.104524665,0.12323593,0.12032589,0.10929641
0.10491671,0.09850908,0.111664884,0.112538494,0.11263474,0.13138722
0.10300313,0.10557503,0.09789732,0.11092764,0.0996624,0.09966301
0.08241723,0.08632128,0.08630383,0.08059056,0.099297956,0.09993546
0.10318036,0.117811255,0.12293837,0.14475779,0.1055566,0.12514287
0.10551822,0.10637164,0.102356136,0.097206585,0.10782103,0.12167242
0.11325119,0.10734462,0.110127635,0.12216597,0.10827328,0.10545854
0.119121276,0.10901034,0.11000229,0.10731461,0.10840796,0.1274421
0.10671604,0.09882439,0.10146468,0.11693886,0.098528124,0.11083259
0.114556015,0.11288008,0.11528729,0.1292836,0.1120164,0.1423418
0.12755597,0.11911218,0.1260683,0.13346598,0.11611803,0.13865663
0.100747906,0.09798717,0.1052859,0.11318045,0.0937697,0.12441945
0.10551157,0.09494798,0.105438486,0.10541017,0.10454671,0.12244348
0.11081112,0.10622616,0.101179264,0.10481817,0.09705153,0.11636887
0.091079146,0.09405037,0.09519564,0.102280274,0.08934563,0.09666056
0.11278148,0.11281033,0.11842324,0.122680776,0.10423841,0.13933761
0.085248016,0.0947684,0.09652589,0.101682924,0.08081982,0.09940863
0.11625559,0.11679508,0.11836752,0.13275325,0.12698562,0.1165105
0.10790232,0.105565675,0.10923605,0.10680783,0.09567757,0.13476264
0.091695845,0.10080521,0.103433885,0.09369356,0.10405066,0.10510325
0.105213314,0.10791186,0.112941675,0.122465014,0.107758395,0.120106876
0.10367936,0.0977211,0.10672166,0.09565974,0.104903735,0.12172588
0.111922435,0.118241295,0.11658739,0.12281236,0.11445861,0.1170195
0.1144069,0.11423847,0.121526495,0.1103753,0.10256417,0.12470597
0.105345346,0.10587355,0.11149885,0.12071846,0.09923546,0.11800834
0.1055642,0.10857709,0.09938087,0.10105124,0.101602815,0.10808564
0.11081112,0.10622616,0.101179264,0.10481817,0.09705153,0.11636887
0.12410847,0.114329614,0.12261509,0.12708743,0.09860936,0.15222594
0.12994084,0.11458075,0.11732826,0.11350957,0.0917129,0.14754859
0.09412848,0.10226089,0.09913912,0.09921733,0.11925326,0.10547005
0.11250626,0.105140895,0.11530367,0.11524557,0.12017367,0.13472994
0.091347694,0.095741116,0.09417419,0.09201015,0.09187121,0.09905281
0.11071983,0.1099427,0.11258254,0.10919088,0.11657394,0.1352356
0.109762974,0.104942374,0.11244841,0.10892812,0.1060431,0.13666439
0.11223849,0.113468625,0.11030527,0.12826112,0.12329455,0.09570261
0.116565354,0.1120535,0.11051206,0.13376448,0.11117865,0.11266721
0.11239899,0.10948633,0.10672601,0.11808997,0.111932516,0.13168466
0.10198258,0.09654767,0.10283254,0.10892903,0.106615834,0.10990621
0.12002543,0.1180746,0.11819552,0.13099118,0.100732766,0.13877504
0.10849257,0.11633078,0.098727636,0.1015864,0.11196955,0.111128144
0.08705504,0.09010022,0.09280192,0.10661318,0.103489816,0.07351238
0.106839254,0.10051111,0.110484235,0.109440394,0.11103889,0.110808834
0.09226219,0.09124681,0.09022951,0.10103085,0.10213411,0.0909434
0.102198265,0.10843034,0.096149094,0.10737586,0.114323065,0.10784343
0.12905,0.119752936,0.11766064,0.12337875,0.121442415,0.13413055
0.10139333,0.12430495,0.12115208,0.11416464,0.11574568,0.11069116
0.13249129,0.120256886,0.12004976,0.107903324,0.09444029,0.14778945
0.107369706,0.10845506,0.11382236,0.13116105,0.11517568,0.11720989
0.10460144,0.106210895,0.10553912,0.12485809,0.10171184,0.10777976
0.104095615,0.10293139,0.10735471,0.121699974,0.09935832,0.12034002
0.10805847,0.10905968,0.11230382,0.113400646,0.10298119,0.14453347
0.10317928,0.101381406,0.11205532,0.09518128,0.08684523,0.12535162
0.100398816,0.10039421,0.09611467,0.10219798,0.104118615,0.10663216
0.09092697,0.09517036,0.09548623,0.09155582,0.10125762,0.104006134
0.08278852,0.09567285,0.10457621,0.11366866,0.10255708,0.09963985
0.11082776,0.10441046,0.113741666,0.107859835,0.09669118,0.129671
