bias,conspiracy,hate,satire,junk,state
0.14354613,0.15517502,0.15370397,0.16162874,0.13535331,0.15280156
0.14777392,0.12730004,0.13921504,0.14749959,0.12670016,0.14361838
0.13340902,0.131192,0.1329223,0.13506249,0.111293785,0.15483758
0.10897112,0.09829195,0.09319293,0.1020958,0.104110576,0.10786999
0.14440317,0.15552849,0.15428503,0.1856204,0.14771713,0.13700172
0.1460123,0.14021058,0.1385072,0.13940999,0.12613826,0.15037797
0.13798,0.14866965,0.13099946,0.17027427,0.15771203,0.116871305
0.13986082,0.13922505,0.12111253,0.13466662,0.11762105,0.12854016
0.11305476,0.11217566,0.10746691,0.13511507,0.11787938,0.11731243
0.16046289,0.14749463,0.14099641,0.15673994,0.14633174,0.16630495
0.1661968,0.1468614,0.14176735,0.15545197,0.13234028,0.1650057
0.1457375,0.14687325,0.15145506,0.14642777,0.14553891,0.1643415
0.14281824,0.14236206,0.13362405,0.15698594,0.13268091,0.13744651
0.11920242,0.12933715,0.110089906,0.13267143,0.09758233,0.12425025
0.13639805,0.13477401,0.11949352,0.109870166,0.10789087,0.14186826
0.12171441,0.10390041,0.10099033,0.092733555,0.09494068,0.11150965
0.15665646,0.13864872,0.13604374,0.15180282,0.12246894,0.14848085
0.11988469,0.12847388,0.11756848,0.13047527,0.11927539,0.11356585
0.13879251,0.13266411,0.15354939,0.1340929,0.117890246,0.17039426
0.15994525,0.14457141,0.14613533,0.18574996,0.13871364,0.14255455
0.14720045,0.14510798,0.13149597,0.17798057,0.14168628,0.12314104
0.12287651,0.12603733,0.13729821,0.1456223,0.11789165,0.17157125
0.14535391,0.14177658,0.15198915,0.13342501,0.13445774,0.16114546
0.14833024,0.13417904,0.13010424,0.15353288,0.13453361,0.14208126
0.14360696,0.14383486,0.14215083,0.15055645,0.13034806,0.17675103
0.14036414,0.1497944,0.1353466,0.1610023,0.14489496,0.14827187
0.118638776,0.117409475,0.12633926,0.118741564,0.10354603,0.11002214
0.16565996,0.14523704,0.14562663,0.18016908,0.14189535,0.15339844
0.16017896,0.15905558,0.15604249,0.16810818,0.15095426,0.16982739
0.15558815,0.16400555,0.16526562,0.16870208,0.1495417,0.1675002
0.1487637,0.14472602,0.14165471,0.16523229,0.14477155,0.15983142
0.17382401,0.16765578,0.15423493,0.17850478,0.15929462,0.16643752
0.1590074,0.13770515,0.12845537,0.1300126,0.13073564,0.15156023
0.16219757,0.15807772,0.14455846,0.18571952,0.13891709,0.16178873
0.14847364,0.15446179,0.15316176,0.16893148,0.12890871,0.14983815
0.12694876,0.13884522,0.1207976,0.15693589,0.13648768,0.11414914
0.1531187,0.16058038,0.16235262,0.18785487,0.15287828,0.15072402
0.17319341,0.1507085,0.15230255,0.17546459,0.14106244,0.16376041
0.14368021,0.14802566,0.15535514,0.14548816,0.14030144,0.15237038
0.13541988,0.13035952,0.12334687,0.1507542,0.1322769,0.13074657
0.15289155,0.15160562,0.15258735,0.16860762,0.14434761,0.16869316
0.16235098,0.1702652,0.15361926,0.19637465,0.18370591,0.14365858
0.15870607,0.14026731,0.13855153,0.1501998,0.13193287,0.16548754
0.15710624,0.14364447,0.13492249,0.14918248,0.12866843,0.15565051
0.15025795,0.14356612,0.13212237,0.1550008,0.14279626,0.14939941
0.14405763,0.13098297,0.13526428,0.1425392,0.11979226,0.15916319
0.1389717,0.13166682,0.12937613,0.1307334,0.13558455,0.13604042
0.15485258,0.14785005,0.14114453,0.16249096,0.15295735,0.14965925
0.14080308,0.14230548,0.13813224,0.13955925,0.12619661,0.15202945
0.1555728,0.15542975,0.14809398,0.16681845,0.14552301,0.1516475
0.1365385,0.14424928,0.14240152,0.15643275,0.13321736,0.13611102
0.1497513,0.14981325,0.13555074,0.18582839,0.13878916,0.12411879
0.1398529,0.13106273,0.13423148,0.13767546,0.11032476,0.18278657
0.13465813,0.13847853,0.12970047,0.15249728,0.13886647,0.13258657
0.14512914,0.13126034,0.12962793,0.12608762,0.12578812,0.14427695
0.13809243,0.1362408,0.13969512,0.15625614,0.13253002,0.13546373
0.12913522,0.11263848,0.106277004,0.10396342,0.114529796,0.130702
0.12475238,0.1251745,0.11683122,0.13855669,0.12078107,0.127913
0.13622722,0.16028935,0.13687852,0.16758716,0.13294508,0.13023187
0.12247739,0.11730726,0.12491929,0.11083829,0.10669038,0.14704116
0.13302208,0.123984315,0.115982175,0.11619251,0.102598734,0.14033963
0.13333304,0.1282788,0.11084695,0.1328338,0.1231211,0.14100762
0.15299469,0.15215398,0.15170288,0.15496342,0.13830368,0.15798551
0.12209409,0.12194004,0.11687873,0.14151506,0.12772799,0.12159204
0.109666385,0.10653022,0.110863976,0.11834725,0.086641036,0.109801464
0.10079504,0.10406569,0.105078414,0.09522013,0.111402005,0.10607313
0.15173659,0.15916848,0.14396437,0.15253024,0.14625856,0.14937435
0.11868804,0.11822666,0.10353777,0.116020136,0.112866215,0.104108356
0.15267026,0.13744725,0.14170264,0.14338015,0.13361709,0.15729675
0.15075575,0.14876942,0.13808219,0.17017828,0.14054899,0.14077695
0.1470521,0.14586493,0.15698239,0.16658594,0.1332025,0.14872955
0.15321808,0.1630403,0.16024926,0.19372687,0.16523537,0.13635296
0.12555017,0.11106309,0.135527,0.123650774,0.10624061,0.15302159
0.1234158,0.12752467,0.1196989,0.13199617,0.123826526,0.122000225
0.13216671,0.13993748,0.12547243,0.15226474,0.13554548,0.1185672
0.1177126,0.12405879,0.13032083,0.14634348,0.12251065,0.1339407
0.14108658,0.15332045,0.13130878,0.17891288,0.15034372,0.12628719
0.14574826,0.15404622,0.14008932,0.16662489,0.17214136,0.14096908
0.12843029,0.103235856,0.11605289,0.13730656,0.099353515,0.118844256
0.14094064,0.1319184,0.13878827,0.13151719,0.118915424,0.15345451
0.09911594,0.09676604,0.10162255,0.109960146,0.10881885,0.11713932
0.15284632,0.14696075,0.15147811,0.17285118,0.15355887,0.15681939
0.15182017,0.13879672,0.14644456,0.1518141,0.13714,0.14823064
0.10787912,0.10499231,0.12010529,0.116984084,0.11167222,0.10747668
0.1402052,0.1319392,0.13886368,0.1462078,0.13258345,0.16903196
0.13146044,0.15522115,0.13668047,0.16971539,0.12874362,0.13311166
0.117218755,0.12760448,0.14564185,0.13976023,0.10243468,0.15062295
0.15833661,0.13662915,0.13025025,0.14548497,0.12693949,0.15133844
0.14412118,0.14841561,0.13931999,0.12499176,0.109648585,0.15811653
0.14150536,0.123236105,0.12455232,0.12729225,0.11081561,0.1376885
0.15520886,0.15160635,0.1348514,0.14019474,0.11999528,0.16381647
0.14345917,0.14090787,0.13887492,0.16454229,0.14489216,0.13755085
0.11542435,0.117542796,0.12154616,0.11459752,0.10813793,0.14059989
0.11880331,0.12452809,0.13045019,0.13037643,0.15618132,0.1273283
0.1336459,0.13616654,0.119814776,0.14991516,0.14700979,0.11753755
0.11206609,0.109722175,0.12423986,0.12559399,0.09609028,0.13795787
0.14881225,0.1407625,0.12993059,0.17209087,0.16313891,0.14173849
0.1663374,0.1556197,0.15235287,0.17971298,0.15001005,0.15388158
0.12888797,0.114306584,0.1147378,0.1819756,0.1464402,0.13418977
0.111694604,0.10970158,0.10671835,0.11601611,0.102903515,0.13339907
0.16595468,0.14738119,0.15511604,0.16655897,0.13803813,0.1524849
0.13379285,0.12763456,0.13194609,0.11806243,0.10009319,0.18498948
0.14704847,0.13919549,0.13665241,0.15331987,0.13297477,0.14820711
0.15173659,0.15916848,0.14396437,0.15253024,0.14625856,0.14937435
0.14794593,0.13738562,0.13105576,0.15108047,0.1231525,0.15407966
0.16194247,0.15332448,0.14178891,0.17071764,0.14428246,0.1540284
0.15483424,0.14473735,0.14063607,0.17056887,0.14268595,0.14634368
0.10657008,0.10166771,0.09507723,0.1286749,0.112825796,0.09366923
0.150193,0.14088039,0.14732935,0.15936922,0.1301624,0.1629665
0.15014389,0.14349064,0.13692074,0.13678281,0.13598442,0.15582575
0.11542185,0.11328587,0.10269091,0.09929866,0.10183351,0.12344289
0.12753607,0.13782279,0.12133084,0.1491529,0.14906958,0.11170149
0.16293108,0.15299733,0.14867823,0.17129101,0.15381268,0.16780974
0.16844521,0.14442527,0.15048099,0.18009897,0.1417245,0.1579953
