bias,conspiracy,hate,satire,junk,state
0.11802096,0.11253819,0.11644049,0.10880181,0.10694728,0.12836988
0.11253621,0.13070177,0.11480414,0.10569057,0.1220664,0.1268239
0.13218948,0.11982716,0.11856445,0.13666712,0.11895428,0.1462508
0.124111794,0.12998705,0.1174406,0.15634763,0.13845451,0.113137275
0.10443947,0.09934337,0.10253952,0.10669525,0.11831007,0.12900421
0.13503592,0.12353415,0.11199318,0.14046776,0.12888084,0.13228424
0.1250354,0.13594058,0.11915416,0.12995148,0.114523515,0.11488656
0.116206884,0.11822191,0.10240343,0.09724538,0.11028677,0.1271009
0.112530716,0.11222012,0.10753159,0.12172409,0.10390461,0.12140672
0.12372532,0.11564208,0.10757349,0.11285461,0.12145481,0.12624401
0.105201334,0.1042682,0.09923503,0.11405888,0.11438059,0.09880464
0.11518165,0.11645507,0.12173785,0.1364852,0.10782599,0.12891315
0.11750961,0.12192457,0.11838024,0.13884285,0.11283476,0.1224989
0.13083582,0.12035263,0.1274953,0.118713446,0.10221892,0.14533663
0.112318315,0.10645598,0.11225495,0.10695088,0.09710831,0.14267378
0.12914318,0.12002721,0.10953037,0.12531489,0.09000064,0.13217239
0.12962915,0.12884219,0.11334818,0.122470476,0.10193853,0.13177106
0.09683133,0.09372262,0.09710204,0.090409294,0.08660916,0.13171521
0.083587535,0.09281727,0.087045,0.09655093,0.10639835,0.07420823
0.1279388,0.114611164,0.115028374,0.15325086,0.14027701,0.12512013
0.12486394,0.11597738,0.11197305,0.124628104,0.11107989,0.1208205
0.12303676,0.12095322,0.11757859,0.119258545,0.13209514,0.13128097
0.13783294,0.13010648,0.12066661,0.1425912,0.12605204,0.13439955
0.14861356,0.13164341,0.12609594,0.14071104,0.12569502,0.14533755
0.14032196,0.12700252,0.117373504,0.1514338,0.11336451,0.15153164
0.15541083,0.13759497,0.12076215,0.15225975,0.14756273,0.1703349
0.122558765,0.12570487,0.14255095,0.14857768,0.08657253,0.11725811
0.13473387,0.12510678,0.1226384,0.12317244,0.11954739,0.14517653
0.1425249,0.13241059,0.11950623,0.13050403,0.12290284,0.13828075
0.13179961,0.12890096,0.11798801,0.12503086,0.1084191,0.13974492
0.122190215,0.14216253,0.11571613,0.14244595,0.13331962,0.12960556
0.12436158,0.12220772,0.11652747,0.13222955,0.10383997,0.11995022
0.13814272,0.12974101,0.12945525,0.1192517,0.10722755,0.17561679
0.109214954,0.11439961,0.106985524,0.12023052,0.117683455,0.10831954
0.11813605,0.1106973,0.1077273,0.10988428,0.09854604,0.11195494
0.12162207,0.11747727,0.12124564,0.13538699,0.1336176,0.13656831
0.10843644,0.11851609,0.10671522,0.11934453,0.10176274,0.11801647
0.13676666,0.12879282,0.12438809,0.12254483,0.11590132,0.15485576
0.118350305,0.12079124,0.11272519,0.109521866,0.09230523,0.12504245
0.1439243,0.12976824,0.1197846,0.120883174,0.12922494,0.144141
0.117935784,0.10708092,0.10127934,0.10085622,0.09190071,0.12283191
0.14512677,0.115836754,0.118587576,0.13293478,0.12842697,0.13946539
0.10731222,0.10402804,0.10463843,0.117255986,0.09823613,0.10318094
