bias,conspiracy,hate,satire,junk,state
0.13927051,0.13944735,0.12310376,0.13517752,0.11064329,0.14554031
0.115485735,0.113605216,0.11243423,0.11993406,0.1243597,0.11181793
0.12466147,0.12639493,0.114436015,0.14800534,0.13277255,0.110889256
0.12523197,0.13679186,0.1256167,0.16992034,0.13355389,0.101602815
0.12095016,0.12593162,0.1138977,0.13410662,0.114660226,0.11347738
0.12327804,0.12951204,0.122587144,0.14822693,0.12716976,0.120262206
0.12994367,0.122079454,0.11308768,0.13596685,0.12542747,0.10053328
0.10838479,0.11169735,0.10598878,0.118122354,0.0985502,0.110255726
0.12056096,0.118680395,0.120601356,0.12127749,0.102528475,0.1263235
0.13471322,0.13734408,0.117420875,0.1263323,0.10898713,0.13991742
0.110441275,0.114009514,0.11172634,0.11099829,0.10538882,0.122519836
0.11674042,0.11949833,0.106169954,0.11590013,0.11068725,0.09610982
0.107672535,0.11210303,0.1090806,0.11180834,0.09354042,0.1219363
0.12296686,0.13719495,0.11567787,0.13572127,0.126137,0.11957628
0.11407908,0.11063572,0.10008014,0.13098241,0.09402435,0.103609905
0.12210136,0.11562303,0.10119372,0.112775,0.096754275,0.12498431
0.12576544,0.1294853,0.12919714,0.16418284,0.10241567,0.12972058
0.12340837,0.12285236,0.10739416,0.12202069,0.11148319,0.12237821
0.14702332,0.15124355,0.14186595,0.14860131,0.13479754,0.1429467
0.13567331,0.13939649,0.124802984,0.12238437,0.1155004,0.14526397
0.115901746,0.11687497,0.10878481,0.13831441,0.0993093,0.1101679
0.13839488,0.12727582,0.13044824,0.12090919,0.1021263,0.14184943
0.123904474,0.118120536,0.115538195,0.10030248,0.09090542,0.13522944
0.123549186,0.118790425,0.12016573,0.11781507,0.11155484,0.12126653
0.117760755,0.11837027,0.112787895,0.13155651,0.12320214,0.1070868
0.11767226,0.11001399,0.10592992,0.1173941,0.10105602,0.1039305
0.14054292,0.14201105,0.12445319,0.14642194,0.12527888,0.14292315
0.13221666,0.12367827,0.11648845,0.12588754,0.11149517,0.13231643
0.13300852,0.12909004,0.11644448,0.15236898,0.11799764,0.1164963
0.11794094,0.12687364,0.13089968,0.14365686,0.10134955,0.11464886
0.1331006,0.13780414,0.12492014,0.14284378,0.11577343,0.12889738
0.1316305,0.14222878,0.11530585,0.14170621,0.120868236,0.12324158
0.12910457,0.15096055,0.123902306,0.13396068,0.111120865,0.13090402
0.12333089,0.13492489,0.11327839,0.13250676,0.108368486,0.12046868
0.12693687,0.13325442,0.122218676,0.12632684,0.10296302,0.13202791
0.13108866,0.12665266,0.11464693,0.13971262,0.11396393,0.11423912
0.12816924,0.12602597,0.121541925,0.11721433,0.0946593,0.14406587
0.13487826,0.12948938,0.10320501,0.10737323,0.10726722,0.12875196
0.122128986,0.11390454,0.108731024,0.12430378,0.08591129,0.12331699
0.1103644,0.10696171,0.108402856,0.112629786,0.104644455,0.100897014
0.12065758,0.12230003,0.11457392,0.12150834,0.101024315,0.11604474
0.13664272,0.13395955,0.11449272,0.13153912,0.118224785,0.14047982
0.122435264,0.115616806,0.11194063,0.11582735,0.0939821,0.132782
0.12914817,0.13505708,0.11787803,0.14444533,0.11003766,0.12824857
0.13704772,0.12800124,0.11684509,0.12549075,0.11218065,0.13781935
0.1242937,0.12034999,0.109125406,0.13334282,0.09881166,0.12415505
0.12405873,0.11678814,0.104123734,0.13624835,0.11646728,0.117345884
0.12350047,0.13047601,0.12410372,0.1273741,0.09726818,0.13498084
0.13374098,0.14143418,0.1281371,0.13877022,0.12102526,0.13200161
0.12982185,0.12973498,0.10974372,0.12531406,0.10812592,0.12872843
0.10757144,0.09868133,0.10482233,0.1150967,0.09670413,0.10067266
0.14293763,0.14601675,0.13203222,0.14773333,0.12564574,0.15321709
0.12494915,0.13027583,0.123006254,0.1445291,0.121990316,0.11953926
0.12088692,0.1293774,0.10962697,0.13775964,0.1088018,0.11554223
0.14882003,0.14245403,0.1300031,0.1312509,0.1253911,0.15166508
0.11131974,0.117657825,0.10616802,0.14111157,0.11667391,0.09226815
0.12565973,0.137828,0.117893495,0.13456388,0.12022292,0.1317178
0.13375756,0.15609361,0.12542336,0.1370482,0.11970407,0.13113505
0.14065175,0.12969963,0.13207957,0.15524724,0.13793342,0.11355153
0.124071196,0.12060431,0.10967676,0.11010756,0.103702314,0.13889691
0.13181743,0.13176201,0.123417154,0.11745141,0.108278766,0.13323665
0.13618302,0.12820132,0.10828827,0.12095487,0.10247769,0.14359154
0.1394164,0.13971864,0.1282768,0.14968339,0.12364153,0.13364848
0.1315107,0.13421054,0.112617455,0.12769812,0.108615175,0.13469996
0.13401946,0.1235497,0.11909426,0.14516068,0.120150976,0.10436458
0.13297465,0.14304446,0.11078737,0.14567338,0.119097464,0.12365707
0.121029384,0.12224855,0.10609795,0.11225014,0.1104635,0.12570697
0.12891933,0.13483237,0.12160861,0.14286168,0.124404445,0.1197326
0.12445652,0.116363436,0.13199437,0.14011084,0.110813566,0.11149844
0.12346703,0.12638828,0.12059719,0.13009575,0.10693745,0.12702274
0.11299534,0.11812721,0.105713174,0.11007827,0.10273602,0.11846006
0.112754785,0.110298865,0.10253833,0.10765104,0.105259955,0.11261751
0.14366855,0.13981378,0.12196915,0.1506248,0.13545173,0.13995886
0.112633966,0.11333683,0.1056881,0.102576815,0.09438126,0.107008666
0.13123094,0.14177817,0.11902867,0.1348219,0.13444221,0.12857771
0.14065385,0.13207325,0.12151251,0.13467301,0.11737273,0.12889788
0.13542084,0.13411707,0.115054145,0.12876844,0.11238751,0.13592975
0.11284517,0.1245211,0.106257804,0.13457844,0.10374142,0.11253067
0.10592522,0.11049675,0.10295014,0.1115234,0.105313055,0.095754065
0.13163975,0.12901728,0.110492036,0.10918466,0.11229933,0.13827857
0.13404374,0.12807971,0.12081605,0.121312395,0.10724152,0.13681097
0.119155,0.121346965,0.11256233,0.11470433,0.104393244,0.12333597
0.13027227,0.1245375,0.117737636,0.13541652,0.10653504,0.12066401
0.124525934,0.13084903,0.10659905,0.12370304,0.109115064,0.11850906
0.12723184,0.12661089,0.11054431,0.12036588,0.09544099,0.13099477
0.12393625,0.13256912,0.106140904,0.12256279,0.10887341,0.1230625
0.13015465,0.12440158,0.11470057,0.12099303,0.094965845,0.124632426
0.14361544,0.1370808,0.135478,0.1308993,0.108306535,0.14390662
0.11841999,0.13427153,0.11520242,0.12719573,0.116738364,0.121636786
0.1434787,0.14416954,0.1260611,0.15705842,0.13616431,0.108834915
0.14822964,0.13840671,0.13331364,0.15168123,0.13269147,0.15115596
0.11760699,0.12080882,0.111909606,0.13938606,0.11276971,0.108458385
0.1260157,0.1314002,0.113600604,0.11690219,0.106187165,0.1288972
0.12406356,0.12426965,0.11723415,0.13009766,0.10675615,0.12353317
0.14772493,0.1507234,0.1250066,0.13877355,0.13315582,0.142566
0.11677048,0.11784185,0.1146171,0.14374848,0.12424965,0.102389425
0.1412007,0.13225149,0.117591135,0.12913546,0.10475754,0.1362501
0.12481643,0.123990215,0.111425,0.11964407,0.10421815,0.12650037
0.12836312,0.12624627,0.11881572,0.14068565,0.11906976,0.12274824
0.1178019,0.13833404,0.106835134,0.13698453,0.115255035,0.1082407
0.14460014,0.14214738,0.13025609,0.14522728,0.1296466,0.1408782
0.13617827,0.13604105,0.11629064,0.13262941,0.110192284,0.1460617
0.11335408,0.1333396,0.098147675,0.12383899,0.10865946,0.094935715
0.12011158,0.13049935,0.11570788,0.123871766,0.11513981,0.1178522
0.121888265,0.13332827,0.10612088,0.112289704,0.10257226,0.122642
0.12553509,0.13249637,0.1148817,0.118755884,0.105878755,0.13599026
0.12573263,0.12589875,0.1179803,0.13317691,0.10884321,0.12026276
0.1375855,0.13895842,0.12171109,0.15052195,0.11146811,0.12798272
0.13270463,0.13806206,0.12514517,0.12631585,0.12510544,0.13928735
0.12150285,0.12271539,0.110497415,0.13455284,0.11317201,0.098896965
0.13078557,0.13587359,0.12850754,0.15340279,0.116631426,0.12380506
0.13877921,0.14982615,0.1268051,0.12781963,0.105711125,0.15066163
0.122521624,0.12299721,0.11710604,0.116982944,0.10139482,0.12590952
0.10911886,0.11902211,0.11113324,0.11335826,0.10136851,0.10883249
0.12597108,0.12630786,0.11903119,0.12124626,0.10427728,0.13282168
0.12186725,0.12562889,0.13065423,0.13547277,0.10640024,0.11694375
0.1249874,0.12392525,0.119956255,0.11174291,0.105639726,0.12876004
0.12607752,0.1339228,0.11336926,0.11514696,0.10243507,0.1313908
0.12350943,0.13733691,0.11521401,0.13550842,0.11589951,0.11798851
0.1150222,0.11281016,0.10642144,0.1209387,0.119841166,0.11499801
0.12989382,0.12150917,0.11155933,0.12587118,0.11025313,0.12404937
0.13412999,0.14489008,0.12150212,0.14874412,0.120153554,0.12233043
0.13540323,0.1310181,0.12525198,0.13899527,0.10972562,0.13201529
0.14482567,0.14511484,0.11735414,0.15051305,0.108267814,0.14384493
0.11933706,0.119902425,0.11625488,0.11378506,0.09791456,0.12366052
