bias,conspiracy,hate,satire,junk,state
0.1302376,0.14126952,0.10974369,0.12046562,0.103585586,0.13356093
0.13694559,0.13142088,0.119134754,0.12542628,0.11923061,0.12880465
0.11959886,0.12342996,0.1204086,0.12233618,0.10879828,0.12257064
0.14311771,0.13821216,0.11913154,0.12710871,0.11236923,0.14370373
0.12567274,0.12775652,0.11109799,0.12591885,0.11492644,0.12146519
0.12845778,0.12927553,0.1151679,0.120094426,0.10052677,0.1364111
0.13459294,0.13478208,0.11667665,0.12785353,0.10947912,0.13841365
0.13374324,0.13094473,0.1211284,0.14850235,0.11345386,0.13233729
0.12255207,0.12638758,0.11514052,0.13336322,0.095735736,0.11962963
0.13257363,0.13240232,0.11167761,0.11957524,0.09683024,0.13611434
0.13676573,0.12512647,0.118262336,0.116593316,0.10049202,0.13451868
0.11541615,0.13978587,0.11625965,0.12037398,0.12891793,0.115270466
0.12095647,0.11795833,0.10906024,0.1217191,0.09009706,0.11526783
0.12754054,0.1341669,0.12294176,0.13055821,0.11349608,0.12444993
0.115678646,0.12187741,0.11824799,0.110922515,0.098604605,0.13265553
0.10693846,0.115827546,0.09988525,0.12289965,0.09993254,0.107869886
0.1278013,0.114767544,0.10559248,0.1416482,0.11121709,0.10803978
0.12890013,0.1283063,0.11471295,0.12144008,0.10804331,0.14079466
0.12396134,0.12862894,0.10537276,0.11858552,0.0988541,0.124595046
0.13259584,0.13102736,0.11800183,0.1328528,0.11833636,0.13289274
0.14247121,0.13677107,0.12747867,0.14108627,0.104286596,0.14315975
0.11253759,0.12594563,0.11964031,0.14038937,0.11386275,0.109867685
0.13007386,0.12714145,0.11896237,0.12659436,0.09836844,0.13355747
0.13624486,0.14505032,0.13852634,0.14864485,0.12185057,0.13244483
0.13927549,0.14673804,0.12766047,0.1260733,0.10747018,0.14852619
0.11724338,0.11000663,0.11269671,0.10072904,0.10442471,0.11756563
0.1090585,0.11328222,0.09751489,0.11818796,0.096426114,0.11139834
0.12186343,0.13619553,0.12976684,0.14569436,0.11446246,0.12699075
0.13101776,0.13979715,0.12907869,0.15554354,0.13232794,0.12576182
0.12764062,0.118521705,0.11604141,0.12471019,0.12446576,0.12640981
0.13425443,0.13194883,0.11199493,0.11768517,0.11369906,0.12899427
0.12112938,0.13598679,0.1154057,0.1359537,0.120401315,0.11547619
0.13270491,0.1383635,0.11844309,0.12530826,0.104854286,0.14204936
0.132539,0.12107741,0.1250587,0.1403541,0.11084283,0.118720226
0.118379824,0.128833,0.108068116,0.1307568,0.10590494,0.1181274
0.12608685,0.121072866,0.120234944,0.15146156,0.11133987,0.12003367
0.12693541,0.122545265,0.1200252,0.15371217,0.09878817,0.116348416
0.11940339,0.11871488,0.10772267,0.11859136,0.11238947,0.11846764
0.12658213,0.119233556,0.115432136,0.12387668,0.09719829,0.1292258
0.12593566,0.13330415,0.11369965,0.12814829,0.10349651,0.12071138
0.11547729,0.10952234,0.10744376,0.13014323,0.10179993,0.105481185
0.1395924,0.13279705,0.109047554,0.14454202,0.12669215,0.13287298
0.1274224,0.12358561,0.10593593,0.12345205,0.11347426,0.12627257
0.14315902,0.14973593,0.13463321,0.16478923,0.13546702,0.13499832
