bias,conspiracy,hate,satire,junk,state
0.14861861,0.13698523,0.13773404,0.15441059,0.14402898,0.16042674
0.13140233,0.13545181,0.13918921,0.14908119,0.14298494,0.12813154
0.16454566,0.16111858,0.14832583,0.19523154,0.16239576,0.15560086
0.13335034,0.123106405,0.13160755,0.14897744,0.14377958,0.1253159
0.082086995,0.08588483,0.08681325,0.09221678,0.11100235,0.09135302
0.13466315,0.13781402,0.14254928,0.14900768,0.14364207,0.13314839
0.15386145,0.15628105,0.14526455,0.17942932,0.16450642,0.13559446
0.12754476,0.13095316,0.13915302,0.15624045,0.12056632,0.13649413
0.12695074,0.13022307,0.12896687,0.14448886,0.1322781,0.12916636
0.1330799,0.117577724,0.11844151,0.11452477,0.11104905,0.14349796
0.1188996,0.1254079,0.12508407,0.13412137,0.12873551,0.13406867
0.11684306,0.11864474,0.1264451,0.12725073,0.12292095,0.14760102
0.14723346,0.14496192,0.13692148,0.17702416,0.14698121,0.1415856
0.12721467,0.12904195,0.13540174,0.1335482,0.13468525,0.14782266
0.14066383,0.13537765,0.14053741,0.15843745,0.13455369,0.15688466
0.12564383,0.12691297,0.12843049,0.13633935,0.119058944,0.13343048
0.14234664,0.14241937,0.1328212,0.16886982,0.14435257,0.13519001
0.10787927,0.11975006,0.1251081,0.12920816,0.121826455,0.12235072
0.13055344,0.12719283,0.12754361,0.14784442,0.13808082,0.12853928
0.12764229,0.1285958,0.12794694,0.15340686,0.12245343,0.12787691
0.15379931,0.15346485,0.14910656,0.17418447,0.15441732,0.15164584
0.11046846,0.11958258,0.11817855,0.13455799,0.104202926,0.11887733
0.13282385,0.13149126,0.13018487,0.15143918,0.11917117,0.12115871
0.12840992,0.123518,0.12195151,0.1411629,0.13639909,0.12044169
0.11920462,0.12145137,0.11577511,0.12721424,0.10466861,0.14466678
0.14461234,0.1352066,0.13255496,0.16551891,0.15347338,0.15166077
0.15997162,0.15680972,0.16256799,0.1856885,0.16592145,0.1731423
0.13155198,0.12598188,0.12817179,0.14132164,0.11976492,0.13487975
0.12042276,0.12239758,0.1283997,0.1366823,0.12007296,0.11630429
0.12743096,0.12569304,0.123594694,0.14579368,0.13578652,0.11914925
0.13229375,0.12587923,0.13063349,0.13734592,0.12047877,0.14264956
0.12183002,0.12681083,0.12678213,0.13481846,0.16008553,0.119806305
0.14900157,0.1470253,0.13417408,0.171787,0.13781278,0.1414333
0.13078855,0.1216348,0.11820288,0.1271266,0.12682045,0.12946673
0.13347985,0.12780564,0.13202977,0.14823271,0.12651864,0.13453792
0.14619222,0.13330092,0.13114324,0.14709166,0.13254929,0.13993539
0.12793599,0.123673484,0.12009886,0.12651476,0.11712046,0.15080383
0.15181184,0.14235544,0.1487653,0.16601753,0.13431822,0.15632759
0.12969202,0.12458553,0.12485697,0.14117868,0.10752684,0.12503773
0.12443383,0.12248354,0.12297634,0.13325733,0.103681065,0.11552163
0.1401431,0.13927723,0.14429642,0.15456848,0.13685828,0.1425637
0.12514254,0.13068402,0.12296224,0.13191882,0.124930106,0.14615422
0.13026647,0.1212814,0.12969235,0.13928458,0.12447569,0.12269047
0.1346617,0.13647754,0.15181759,0.16157863,0.12348741,0.14767708
0.12989405,0.13986114,0.12456096,0.15504408,0.123951025,0.12979372
0.12314363,0.13996418,0.11893845,0.14310206,0.11997048,0.1303162
0.12002037,0.13022152,0.13635354,0.15142915,0.11630984,0.13709155
0.13156895,0.12806961,0.12654339,0.15953428,0.14342406,0.12859285
0.11247977,0.114645615,0.11274089,0.12564032,0.1316725,0.108994775
0.12654303,0.12959036,0.11539281,0.14878172,0.16253166,0.11431929
0.14755195,0.13754514,0.13480416,0.15178108,0.1312508,0.14103982
0.11822548,0.11840323,0.11840709,0.122323774,0.14209966,0.118229516
0.16516194,0.1563886,0.14381047,0.18583441,0.14926761,0.15325423
0.1338893,0.13197915,0.13652983,0.14579439,0.12721786,0.1463785
0.14599758,0.1493273,0.13224755,0.16326563,0.14353257,0.13064724
0.14817387,0.15999892,0.14471628,0.1615648,0.16750264,0.14598304
0.12443553,0.12775843,0.12121327,0.14163376,0.14777943,0.12581468
0.13664313,0.13415763,0.13790299,0.14357889,0.14540945,0.13092235
0.1403708,0.15402281,0.13409474,0.16598892,0.14355537,0.14280744
0.10655206,0.103415705,0.10579287,0.10253383,0.10578123,0.13188404
0.16333102,0.16941953,0.15709105,0.20168638,0.17381114,0.14949335
0.12745513,0.12735091,0.12377137,0.12673734,0.12685482,0.14593023
0.12931831,0.12912865,0.12910017,0.14198379,0.1487589,0.13320665
0.12889962,0.13034344,0.120242946,0.14210841,0.13397479,0.12795208
0.11489423,0.11678485,0.12566452,0.12554708,0.13070886,0.13344276
0.13291913,0.13174182,0.12662455,0.139831,0.12609424,0.14821593
0.14404234,0.14095715,0.14602233,0.18013993,0.1510193,0.15287419
0.119553424,0.12119953,0.11859361,0.12377492,0.10789136,0.1390929
0.12676343,0.12631178,0.12205923,0.14837635,0.1312106,0.12545586
0.15532959,0.13953461,0.13084918,0.17782094,0.14206277,0.14558744
0.13844344,0.12775588,0.12320573,0.13734354,0.1198914,0.13405435
0.11499955,0.10481519,0.11226882,0.15067191,0.10450554,0.10463095
0.12681761,0.12473194,0.1283903,0.14760138,0.116351694,0.12337588
0.121104285,0.11581805,0.11581703,0.13635741,0.114483945,0.14134802
0.16085349,0.15928712,0.14848886,0.16440177,0.14209811,0.16139096
0.12297122,0.13457626,0.12689942,0.1481548,0.1245071,0.12926444
0.120382525,0.12099002,0.12661609,0.14072771,0.123105824,0.14198686
0.11925697,0.13306153,0.13670972,0.14017785,0.14376606,0.11910191
0.13001227,0.1297033,0.12612616,0.15201886,0.118053555,0.15216552
0.11511427,0.11447199,0.11481497,0.118917525,0.10391091,0.12310609
0.11800518,0.11823462,0.11858538,0.122713014,0.14272575,0.11769416
