assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.14423604,0.13462378,0.11788058,0.12593655,0.1261598,0.13202302,0.14254907,0.13752218,0.14230414,0.13934667
0.17416479,0.14824727,0.14343216,0.13719659,0.14506687,0.13893743,0.1965782,0.16376393,0.17601372,0.1611942
0.16036755,0.15991417,0.12778127,0.15026309,0.13581224,0.14445437,0.15549976,0.15294267,0.15598363,0.1524421
0.17393091,0.1522352,0.12685858,0.12939161,0.14375608,0.13577133,0.18450941,0.16382122,0.17530425,0.16383919
0.13363756,0.13632414,0.099580996,0.110777505,0.12166186,0.12368226,0.12669504,0.1311189,0.13356487,0.13104787
0.15595742,0.14269419,0.1136405,0.11653169,0.13193117,0.12322288,0.14239411,0.16442311,0.15114862,0.1449339
0.16568647,0.157047,0.12147007,0.13803,0.13659523,0.13424414,0.15443937,0.15795806,0.1543453,0.15788867
0.15262657,0.13793543,0.13352816,0.116098404,0.14054903,0.12256997,0.1708548,0.14191908,0.15749489,0.14568992
0.1214917,0.13579777,0.10906963,0.11130182,0.1120371,0.107971154,0.12446937,0.12276623,0.11772301,0.11781531
0.16267939,0.14986043,0.14972155,0.14549209,0.1370292,0.13510117,0.18564284,0.16473909,0.16556232,0.14875247
0.13762903,0.120241955,0.123190045,0.1102622,0.11639757,0.111300275,0.14724453,0.13985988,0.122878835,0.11968717
0.13124813,0.1155523,0.09147745,0.1036765,0.11281319,0.11822106,0.13494055,0.123784214,0.12755103,0.12789634
0.17588507,0.14735669,0.14702201,0.13763411,0.13942741,0.13351344,0.20274773,0.17179415,0.16691434,0.16135994
0.13590664,0.13431178,0.09485577,0.114493504,0.10666292,0.11606541,0.11812753,0.12812355,0.12284011,0.13047123
0.13173053,0.1250428,0.099848226,0.10604503,0.11517422,0.122034445,0.12871432,0.1347553,0.13233045,0.12674314
0.1460204,0.12629932,0.12126164,0.11757362,0.116645955,0.11675317,0.15730798,0.14117627,0.13430165,0.13746276
0.14214164,0.13654327,0.14990427,0.12593453,0.13124713,0.11783416,0.16287133,0.13617827,0.14052019,0.1371856
0.12254945,0.118793316,0.088369,0.098026425,0.109121665,0.117339626,0.11845519,0.12653047,0.12605126,0.11691815
0.12608033,0.11517584,0.109018214,0.10226502,0.119054526,0.12186962,0.13927948,0.12471285,0.13040955,0.117706984
0.15420897,0.14804728,0.11773967,0.1298863,0.12692933,0.12774907,0.15338846,0.14926621,0.14791378,0.14578213
0.15065004,0.13177314,0.14030066,0.13462435,0.13422589,0.12633611,0.16463482,0.14848886,0.1505908,0.13699658
0.15468332,0.14999801,0.119241536,0.12926058,0.13804449,0.13957316,0.14885491,0.14202642,0.1573911,0.1542523
0.14686981,0.13364859,0.12007138,0.14151129,0.12362547,0.13795528,0.14294042,0.13305995,0.138086,0.14428918
0.17891546,0.16534705,0.13886708,0.15537459,0.14303972,0.14932637,0.16930355,0.16439287,0.16620404,0.17401692
0.18198612,0.15093759,0.1491764,0.1497385,0.14963964,0.15341523,0.1889981,0.16271451,0.17411749,0.17502655
0.12981328,0.12816942,0.09775583,0.11195507,0.112044446,0.11509629,0.12981659,0.11972872,0.1208618,0.13593616
0.14576112,0.12821797,0.105905555,0.11534887,0.106344946,0.109086245,0.12979119,0.13663755,0.11719362,0.13462457
0.17266124,0.14618976,0.1253374,0.13242584,0.14135534,0.1385843,0.16948506,0.14862826,0.15876347,0.17063992
0.16932116,0.14623186,0.1245543,0.14042597,0.14311627,0.14948668,0.16499925,0.14672254,0.16176745,0.17278022
0.13924241,0.14366013,0.1081449,0.113754496,0.12626229,0.12241826,0.15057483,0.12885681,0.14332658,0.1373786
0.1621373,0.15440275,0.12041253,0.12998605,0.13202578,0.13042705,0.1614595,0.1534625,0.15677926,0.15523449
0.12027404,0.12510933,0.10135958,0.10684215,0.09468605,0.101849996,0.1300931,0.12411745,0.1108477,0.111296535
0.13534652,0.15440685,0.110808045,0.13517511,0.11572252,0.12388201,0.13140345,0.1288792,0.1316299,0.13408814
0.1437339,0.13511169,0.16919017,0.15779063,0.13414373,0.13767223,0.16424452,0.14587894,0.1417371,0.1351332
0.15555899,0.15078968,0.11823857,0.12810439,0.13211404,0.12719984,0.15226887,0.15783791,0.14896415,0.1445654
0.1439149,0.14867261,0.114360295,0.12746519,0.12379866,0.12328894,0.13113779,0.14235292,0.1393198,0.13753867
0.14865893,0.147746,0.11833614,0.1344032,0.12618089,0.13363083,0.15434422,0.14551109,0.15197219,0.13909206
0.15319107,0.14870675,0.116458364,0.12886447,0.11815326,0.12425192,0.1493597,0.14023824,0.13730046,0.14633594
0.15623313,0.15155084,0.13106664,0.13878626,0.13282192,0.13651218,0.15911195,0.1515827,0.15009457,0.14888538
0.16431151,0.14874463,0.13354884,0.15945634,0.13532473,0.15303104,0.15868895,0.15004961,0.1581871,0.16119604
0.14029053,0.13105424,0.12951502,0.11913039,0.13057576,0.12713832,0.16909912,0.13096297,0.15045488,0.13292134
0.1676238,0.15766817,0.12931392,0.1426037,0.14705774,0.14585759,0.16758978,0.15567528,0.16697268,0.163502
0.1334926,0.13699293,0.13740423,0.1365089,0.12445149,0.13178848,0.15283553,0.13683215,0.13868171,0.12485111
0.18293515,0.1604468,0.134968,0.1491125,0.15134443,0.14333302,0.18552221,0.18569791,0.18315807,0.17044362
0.12338493,0.15163738,0.10015835,0.12561697,0.10331685,0.12035025,0.113796584,0.123769745,0.11913244,0.11952436
0.16512218,0.14191434,0.13560645,0.1351851,0.13355266,0.13259926,0.17948091,0.14270347,0.15448004,0.15943657
0.19038266,0.17431775,0.17067096,0.16383047,0.17042801,0.1566583,0.2044488,0.17118777,0.19249317,0.1852961
0.12916254,0.11262815,0.15346254,0.14705148,0.11376632,0.12151117,0.15662055,0.12567227,0.12635696,0.12003281
0.11824568,0.13036016,0.101555005,0.1039754,0.11018408,0.10569771,0.12365133,0.109511204,0.11663684,0.11565182
0.12502694,0.13815457,0.098131254,0.11358733,0.10995286,0.12037199,0.113496765,0.11107669,0.1237539,0.129476
0.15897797,0.14229828,0.11405118,0.12774055,0.12170185,0.12469251,0.15917909,0.14244688,0.14901334,0.15034653
0.12015556,0.1344893,0.088715866,0.10371024,0.10805673,0.11585208,0.10984396,0.11212707,0.12070866,0.12081407
0.1721289,0.15215375,0.1257394,0.12619616,0.14046122,0.12579784,0.17333238,0.15766028,0.16147862,0.1646396
0.15841174,0.1458684,0.124843955,0.15108076,0.12683602,0.13675779,0.17186409,0.14944176,0.15281487,0.1529788
0.17078139,0.14476782,0.13636294,0.1358697,0.15024048,0.13762622,0.17649417,0.16773435,0.17046973,0.15774573
0.14874496,0.15634468,0.120456204,0.13404138,0.12544642,0.12634493,0.1418294,0.13839078,0.13931124,0.14311378
0.13255903,0.14772451,0.09760276,0.114628784,0.115911014,0.10997184,0.112087555,0.12768239,0.121958286,0.12925406
0.14894332,0.14333408,0.1365413,0.1306085,0.13605994,0.13367172,0.15470599,0.14759405,0.1532634,0.13853343
0.14673674,0.13667001,0.09981313,0.11732392,0.111708,0.1160855,0.13281627,0.13561587,0.11902136,0.14299403
0.15007144,0.15119794,0.12607013,0.13625081,0.12651925,0.12782162,0.15336254,0.14876671,0.14752334,0.13766812
0.16421798,0.15576065,0.12203847,0.13223048,0.14128645,0.14090283,0.15595792,0.14596137,0.15543662,0.1613633
0.1088944,0.11823063,0.09323721,0.09202369,0.10104783,0.10344764,0.10378405,0.11191877,0.10637973,0.10553551
0.14284031,0.16068865,0.1271362,0.13931376,0.12790218,0.12785695,0.1388501,0.13815244,0.13992064,0.13872933
0.14545788,0.12725833,0.114057295,0.108124666,0.12047072,0.11553778,0.15364507,0.13942316,0.13976297,0.13188687
0.122053005,0.1182739,0.11068298,0.10162581,0.11382136,0.10621124,0.124149084,0.12723769,0.11595985,0.11667363
0.15939704,0.14669178,0.1713839,0.17372583,0.13748635,0.14726003,0.1777905,0.16547339,0.16233747,0.14188878
