assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.12752046,0.13520454,0.10146811,0.12205338,0.10140302,0.11201666,0.1131123,0.11957297,0.11514799,0.120847695
0.124706134,0.122379325,0.10227124,0.11882185,0.115034536,0.124819554,0.12125119,0.10177622,0.11860329,0.12148498
0.12900648,0.13357528,0.09578619,0.1186728,0.10056518,0.109226786,0.115809895,0.11829315,0.113670364,0.12349571
0.13965753,0.12602709,0.12803622,0.12413379,0.13112722,0.1226592,0.14831401,0.13141266,0.14557655,0.13020818
0.1238492,0.12630945,0.115172744,0.12167089,0.11312541,0.123200566,0.12243996,0.10690265,0.12016722,0.1271561
0.12520382,0.112943865,0.11832254,0.108442076,0.10654921,0.10219139,0.1423021,0.1280731,0.118421845,0.11371141
0.12169524,0.119996026,0.108119205,0.11377865,0.118169725,0.11957722,0.13742384,0.11725971,0.12942311,0.11949617
0.12086165,0.11858605,0.10994046,0.12528998,0.11189861,0.12641308,0.12033959,0.09660842,0.123615295,0.12760101
0.13389027,0.13784723,0.105879314,0.13784301,0.10202704,0.12064279,0.1166997,0.12579732,0.11181836,0.12354139
0.13752888,0.13557115,0.11154478,0.12795524,0.117106445,0.13036004,0.13834605,0.12555519,0.14011927,0.13069914
0.09900437,0.11841469,0.104640044,0.11188913,0.0895081,0.096905895,0.1102994,0.11348659,0.104781955,0.09285745
0.120183475,0.1255498,0.108283795,0.11544986,0.10680767,0.104502395,0.13553852,0.12164104,0.11330894,0.116131805
0.121794045,0.11778797,0.102949746,0.13035037,0.08882239,0.104691446,0.14051837,0.1332818,0.112662256,0.11258084
0.08941827,0.10730441,0.095781595,0.09348687,0.08389221,0.09380215,0.1018089,0.084597416,0.08949747,0.08794489
0.12969339,0.1270935,0.094203025,0.1214618,0.10576332,0.11893553,0.13347565,0.11660053,0.12022533,0.12333065
0.13265644,0.102635555,0.122116104,0.11308315,0.11075673,0.11300971,0.14370827,0.1108607,0.1174258,0.1277133
0.12330414,0.1413047,0.108143374,0.13823117,0.10102809,0.11831455,0.12109966,0.11446037,0.12057001,0.12412804
0.10354924,0.115362346,0.08363247,0.10282929,0.08220721,0.09827587,0.09430366,0.11296984,0.09825796,0.09156387
0.15592343,0.12062564,0.13948123,0.12630376,0.120782256,0.1139138,0.1872293,0.14325662,0.15127195,0.1471989
0.09637147,0.1192131,0.08188301,0.10323047,0.08845197,0.10281082,0.09253269,0.09843724,0.09433732,0.093852796
0.10285377,0.11943476,0.087003306,0.09242837,0.09179493,0.09172627,0.100297,0.09711933,0.09978469,0.10339669
0.09619754,0.11479829,0.08747389,0.09428621,0.08952346,0.089193985,0.08570771,0.09137409,0.09490107,0.09105142
0.11800027,0.13165087,0.08790819,0.10927007,0.09298198,0.104474664,0.10605498,0.106339544,0.10918429,0.11685966
