assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.15600044,0.1317215,0.13917845,0.12585674,0.12568977,0.12805077,0.17858233,0.1515966,0.15148222,0.14351325
0.14848554,0.124558255,0.1152738,0.11759693,0.121912494,0.123324014,0.1468558,0.12910159,0.1427114,0.14636114
0.15319046,0.13361686,0.13680026,0.14358212,0.12708595,0.13223298,0.17584836,0.14636947,0.15299542,0.14718609
0.16796567,0.13656156,0.12979826,0.13697475,0.12295932,0.123576045,0.17863975,0.16265455,0.1428733,0.15113093
0.16353826,0.13356745,0.13008603,0.13404317,0.13278401,0.13370927,0.18569277,0.15600841,0.16449255,0.1534424
0.14730085,0.12797336,0.13241524,0.12943225,0.11702399,0.12143645,0.16508797,0.13232905,0.13791862,0.1391706
0.17078373,0.1453223,0.13853315,0.12647195,0.14437538,0.12874812,0.18810523,0.16889788,0.1742422,0.15798779
0.13860936,0.1308896,0.14357156,0.14332426,0.11917962,0.12799427,0.15546326,0.13441877,0.13623731,0.12703936
0.12382788,0.13947055,0.13868144,0.12620541,0.11942911,0.11732057,0.14440784,0.11721054,0.12324295,0.11958774
0.11788024,0.11654312,0.12853818,0.124953404,0.10455606,0.11425119,0.13885452,0.11481683,0.12352735,0.10634105
0.14484467,0.13372996,0.12755944,0.122762404,0.121023424,0.12059652,0.16198333,0.13170378,0.1350705,0.13615789
0.14744225,0.11949733,0.11273055,0.12272238,0.11354324,0.12296365,0.14525966,0.14334957,0.12006686,0.13373338
0.16304989,0.15021715,0.1456271,0.14187413,0.13651113,0.13355273,0.16185111,0.1502221,0.15666331,0.15001439
0.14628044,0.12254007,0.123270236,0.13503711,0.114550434,0.12595749,0.16797858,0.13511714,0.14462614,0.12857392
0.16337694,0.13360758,0.13935477,0.14874206,0.12603499,0.12942547,0.16979076,0.16118921,0.1448938,0.14768691
0.1266532,0.11117498,0.110617325,0.11396735,0.10523609,0.115559064,0.13861944,0.12690324,0.11798244,0.118521325
0.16145997,0.13984546,0.11689539,0.1322748,0.12515905,0.12701678,0.15702002,0.15146948,0.14234184,0.15387845
