assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.113340095,0.11351814,0.117755,0.10447706,0.09925541,0.09711098,0.13362545,0.09878928,0.11292645,0.10669539
0.16638078,0.13970277,0.1577439,0.14748766,0.13642463,0.13362396,0.19466826,0.14888994,0.16199215,0.15659446
0.13290358,0.13004637,0.09282696,0.10663469,0.10688121,0.11183111,0.11868371,0.1260185,0.117054954,0.124407254
0.18004133,0.14702854,0.1587667,0.1393214,0.14028269,0.12954885,0.21023974,0.15794417,0.17126468,0.16831535
0.14152713,0.12432399,0.13749601,0.14972977,0.12305823,0.13485792,0.17262411,0.12668939,0.14803267,0.13684447
0.14781813,0.12694134,0.1238039,0.12915969,0.10907435,0.12018701,0.1619215,0.13374373,0.13380484,0.1374332
0.1463553,0.13812016,0.14358799,0.12276901,0.13264756,0.11898434,0.17215435,0.14177895,0.15035483,0.14392492
0.16532058,0.1389416,0.14187016,0.13837059,0.12748547,0.12666906,0.18606795,0.16209553,0.14965264,0.14729008
0.12838338,0.118793875,0.114722274,0.11610732,0.10435183,0.109123185,0.1418288,0.123745136,0.11703112,0.12127421
0.10485201,0.11193448,0.114368916,0.10652833,0.10103553,0.10216261,0.123490155,0.09820349,0.10312141,0.09951537
0.14053333,0.12985735,0.14773788,0.122555315,0.12572378,0.11683893,0.17338246,0.13519327,0.14531149,0.13253279
0.13658477,0.12744737,0.13475747,0.119355515,0.121849,0.11542486,0.16062026,0.13970159,0.1385001,0.12569457
0.13830255,0.122442745,0.121835545,0.116922684,0.119790986,0.11496544,0.15105113,0.13662103,0.12745114,0.13263519
0.13076289,0.12485503,0.12736335,0.11938245,0.1121554,0.11235811,0.15156183,0.12248375,0.12865756,0.12640953
0.11146427,0.12738973,0.10452547,0.10854268,0.100290224,0.11168213,0.122355536,0.109613284,0.10993351,0.111138456
0.12464931,0.12433214,0.13514179,0.112433694,0.12205735,0.11449224,0.14818007,0.115487464,0.1267258,0.12192479
0.12580344,0.11205982,0.108568214,0.100644,0.11066516,0.107242495,0.131315,0.13095167,0.1267014,0.116381906
0.13451456,0.1323453,0.13921115,0.12825188,0.122295275,0.11937071,0.15941086,0.12914042,0.13452552,0.12833208
0.12631981,0.12486612,0.12586232,0.113454565,0.11758526,0.11268427,0.13518903,0.12075505,0.11919089,0.1235755
0.19394286,0.15989119,0.16652699,0.15492646,0.15868361,0.1509442,0.22227474,0.18089046,0.18662632,0.18108867
0.15304303,0.13155566,0.1352304,0.12063148,0.122277,0.11784271,0.16773003,0.14080133,0.13942574,0.14130735
0.15584399,0.13779846,0.16379802,0.15472472,0.13407832,0.13944511,0.17915657,0.1503382,0.15656646,0.14688757
0.14488597,0.13001402,0.11017651,0.113287605,0.10881614,0.108332634,0.15536498,0.13439861,0.13458943,0.13413556
0.1673365,0.1510565,0.13200226,0.13826151,0.13359304,0.1325771,0.16976325,0.1583013,0.15891911,0.15934475
0.12253208,0.11773982,0.11574941,0.1136634,0.10280815,0.10787301,0.13353091,0.1118907,0.121453084,0.11702344
0.13378152,0.12975632,0.13604148,0.13142483,0.11741888,0.124609426,0.15170757,0.12851089,0.13259543,0.12277769
0.10089608,0.118249625,0.10457835,0.09439064,0.103558876,0.09900916,0.11301419,0.10497015,0.1037905,0.10102662
0.12666598,0.120647505,0.11997182,0.11841559,0.104789466,0.11210891,0.13881278,0.122903176,0.121192016,0.1181811
0.13796699,0.12900288,0.13598037,0.13266921,0.11404331,0.12152212,0.15508871,0.13063672,0.13311931,0.1288342
0.16821344,0.1424496,0.13530245,0.12989177,0.13854802,0.13563666,0.18679099,0.1587644,0.17306432,0.15764831
0.2077812,0.15743548,0.15168117,0.16372897,0.15009102,0.15455528,0.23447242,0.1895583,0.19541524,0.19398324
0.105415225,0.11626446,0.113157086,0.10716468,0.108370535,0.10687134,0.11838707,0.10177289,0.109945655,0.10536114
0.17010206,0.13235046,0.13075769,0.12644318,0.124841824,0.12076856,0.19393432,0.15544829,0.15592985,0.15627481
0.12742466,0.12498754,0.11272149,0.11861683,0.10427337,0.11286652,0.1383246,0.12355776,0.1219968,0.11927961
0.16728261,0.1355386,0.12022298,0.137151,0.13536748,0.14491794,0.18320629,0.1485932,0.15312529,0.16066812
0.1662411,0.13638556,0.14099564,0.13333309,0.13189556,0.129397,0.19077817,0.16160937,0.1605963,0.15323824
0.16348411,0.14556088,0.1461741,0.13997449,0.13381372,0.12949905,0.18044442,0.16414613,0.1545016,0.15082678
0.16694115,0.13470076,0.1252006,0.12754345,0.13501057,0.1354574,0.19048595,0.15105218,0.17224841,0.15803227
0.15428476,0.12925321,0.115526386,0.122590385,0.11708326,0.12072191,0.16297488,0.13898239,0.14225373,0.14083031
0.15637964,0.13776463,0.13287105,0.1319838,0.12465319,0.12269777,0.1670649,0.1458159,0.13940619,0.14778785
0.16728194,0.13246815,0.11143335,0.11787965,0.12073526,0.12328016,0.17338139,0.14590977,0.14636654,0.15522505
0.14467895,0.12762673,0.14144991,0.13163474,0.12271933,0.11968508,0.16507386,0.13831846,0.13626094,0.13831338
0.15818216,0.1368083,0.15165219,0.13969095,0.14251317,0.1382117,0.18578187,0.15306857,0.16465227,0.15041138
0.16549163,0.13809189,0.13567552,0.13692002,0.13042873,0.13161805,0.17697006,0.1487037,0.154412,0.15625262
0.1587949,0.13771312,0.15241373,0.14561191,0.12989382,0.13080727,0.19177987,0.15744838,0.15971673,0.14985724
0.10920141,0.109570496,0.14117944,0.12343372,0.11233209,0.11225425,0.13840051,0.1014125,0.11835774,0.11063712
0.15850703,0.13207458,0.13610817,0.13557212,0.13293627,0.13421543,0.18080136,0.15635212,0.15910299,0.1458982
0.13826948,0.13219732,0.13329664,0.12756804,0.13012621,0.1249422,0.16419055,0.1361323,0.15042935,0.1326975
0.11126322,0.122005984,0.12011084,0.10863226,0.10682255,0.10873357,0.13262217,0.11132362,0.117033176,0.106277615
0.16004437,0.14260253,0.12533976,0.12820487,0.13339688,0.13371687,0.16958144,0.15546584,0.15818769,0.15056157
0.14933185,0.14251614,0.13651432,0.13479723,0.12010992,0.124555424,0.16164668,0.14690667,0.14187029,0.13738878
0.12133301,0.11814531,0.113225095,0.103319414,0.1078109,0.10219911,0.12023458,0.12722762,0.11552576,0.116052665
0.12484665,0.12167816,0.13934125,0.120986566,0.11943288,0.12180703,0.14618307,0.11913515,0.125834,0.11907351
0.122236244,0.11445931,0.10353865,0.09957872,0.11011707,0.10644123,0.13677046,0.11217647,0.11620493,0.12512037
0.16190054,0.13875122,0.13374265,0.13343924,0.12503524,0.12880334,0.1735225,0.14571238,0.15099934,0.14793509
0.14584985,0.1400325,0.123030394,0.12730816,0.13339408,0.12967758,0.1637133,0.1280639,0.15237197,0.14702214
0.12691495,0.11619434,0.13284832,0.1173409,0.115103245,0.11657048,0.14911568,0.12282261,0.12813237,0.11953968
0.13742754,0.13130365,0.13422258,0.13551441,0.119146645,0.12724148,0.15881182,0.1359123,0.14044689,0.12683155
0.13647676,0.12289357,0.1442456,0.1388985,0.123881154,0.1274229,0.16620237,0.121382505,0.13544881,0.13255394
0.15463364,0.13675258,0.13312732,0.1343981,0.127712,0.13141029,0.1706313,0.15400854,0.15235189,0.14203012
0.15281664,0.14541604,0.14204776,0.1494615,0.12678419,0.1304689,0.1696842,0.14813797,0.15204759,0.14744885
0.13833472,0.12937772,0.14950743,0.12734005,0.13257523,0.121877626,0.1635433,0.12078843,0.13757782,0.1430398
0.12875524,0.12270986,0.12078115,0.12174127,0.110237606,0.11861288,0.14423944,0.13375986,0.12398594,0.116996184
0.12797682,0.11320527,0.13556652,0.13910592,0.10527772,0.114720866,0.14206034,0.12525924,0.11499481,0.11931307
0.18103129,0.1419445,0.1371192,0.12809259,0.13524187,0.12785819,0.20596626,0.16559681,0.16859151,0.16479015
0.1306232,0.1228113,0.14440127,0.12116414,0.118784696,0.10875914,0.15943354,0.12199368,0.12572864,0.12732635
0.13919175,0.13168474,0.1382991,0.12955825,0.1224544,0.123631544,0.16726565,0.13158971,0.1369167,0.12800302
