assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.11964401,0.11197402,0.08620006,0.102653176,0.09628796,0.1017367,0.10128755,0.109944046,0.10124244,0.12069446
0.13907063,0.12772587,0.09217845,0.100607075,0.11206416,0.108885214,0.13446027,0.13803987,0.1352022,0.13219203
0.14100738,0.1221014,0.11181829,0.123086825,0.12770456,0.13185117,0.14920107,0.14233853,0.15622829,0.13357042
0.1228735,0.111698225,0.09019883,0.10038438,0.09772005,0.097197175,0.11735421,0.12169792,0.113365225,0.11785565
0.1108449,0.11570146,0.08105047,0.08895093,0.08804989,0.09036486,0.098394156,0.12513076,0.0984305,0.10343371
0.14155556,0.12441136,0.10954477,0.13403651,0.119509324,0.13279772,0.14055277,0.13329506,0.1408543,0.13696435
0.13933879,0.11684806,0.08442339,0.09561546,0.09667789,0.096413314,0.11575261,0.13520233,0.10431108,0.12725058
0.12161576,0.11796912,0.08140414,0.08850991,0.107429124,0.0924386,0.10731978,0.1077401,0.113677375,0.11787894
0.10538336,0.109312825,0.07574043,0.08193046,0.08625786,0.09108379,0.102007516,0.10779377,0.10265421,0.10066532
0.11978949,0.10785951,0.08386203,0.08328027,0.09076744,0.08601463,0.107715786,0.14149298,0.096378796,0.105860434
0.10116008,0.11083703,0.07491198,0.08152216,0.08741686,0.0815798,0.093523085,0.09843786,0.09059622,0.09174079
0.15569322,0.131165,0.107951805,0.113266796,0.123273455,0.12213071,0.14949499,0.148987,0.15219633,0.14315617
0.11734394,0.12036013,0.09454412,0.10332703,0.09993125,0.10102882,0.11359813,0.12265209,0.11600088,0.10616915
0.14458577,0.124052934,0.09505133,0.11037904,0.100680865,0.10606788,0.12392752,0.1420536,0.115740806,0.13373727
0.09400132,0.10694726,0.0850036,0.08546191,0.08374632,0.084287964,0.10002342,0.10112678,0.08884611,0.08575566
0.1055335,0.10911655,0.104460664,0.09780737,0.10110145,0.10078193,0.11556959,0.10523759,0.1028737,0.10290127
0.103255905,0.10358876,0.084837064,0.08425529,0.09185868,0.08780835,0.09929561,0.107176624,0.10603358,0.0937951
0.13747025,0.13085301,0.115993634,0.11251827,0.1287786,0.11890424,0.14265846,0.12717842,0.13791323,0.14102294
0.10972739,0.101914115,0.08603504,0.08949084,0.09111585,0.09482934,0.09759704,0.10876486,0.09476792,0.09862783
0.15330034,0.12997332,0.11427015,0.12678272,0.120292306,0.119496465,0.14991246,0.15280265,0.13232358,0.14253476
0.113995984,0.106025465,0.07522894,0.08729733,0.08749204,0.090031736,0.10513433,0.12199522,0.10593095,0.10279342
0.13600251,0.119527034,0.10241698,0.12181667,0.11409777,0.12054055,0.14237699,0.112894416,0.13155547,0.13953567
0.12150542,0.11816947,0.10033436,0.11284254,0.107935086,0.11276095,0.12501946,0.1338336,0.12731856,0.11817298
0.10370287,0.11501315,0.07503284,0.07672566,0.091170244,0.082293324,0.098847724,0.099451914,0.09292175,0.0999863
0.103316896,0.109514795,0.08270344,0.08848231,0.09690201,0.091564626,0.090797246,0.11400867,0.10520192,0.101881415
0.13050656,0.120348476,0.09722314,0.10478603,0.11774789,0.11582474,0.1445895,0.112789735,0.1456105,0.13033241
0.118928105,0.12763067,0.10317927,0.121921934,0.10943745,0.11251263,0.120031334,0.106249176,0.12081286,0.11830733
0.14700934,0.120059654,0.099529035,0.10946141,0.117904775,0.11548606,0.14053455,0.13374358,0.12669711,0.14473924
0.1460974,0.12314649,0.11625434,0.13343853,0.12103052,0.13197084,0.14281924,0.13571814,0.14623109,0.142767
0.12807086,0.11917104,0.09079973,0.1109901,0.100517206,0.11043069,0.11665333,0.1214577,0.11936165,0.1288364
0.13441555,0.11279211,0.09372918,0.10016255,0.11381582,0.10197125,0.13762823,0.13522838,0.13511741,0.12965488
0.1205425,0.11090429,0.094738476,0.10635382,0.0881813,0.09799462,0.124581926,0.11138162,0.1099979,0.1109097
0.13382241,0.13066687,0.10623336,0.11381968,0.12925974,0.12860265,0.12638225,0.1181902,0.14231917,0.1362065
0.13058628,0.11763262,0.09739848,0.10694368,0.1167014,0.11757381,0.1322465,0.1096457,0.13173501,0.13382047
0.12692046,0.115584314,0.10036226,0.10500554,0.10774822,0.111018874,0.13041338,0.115152024,0.12128597,0.12157542
0.110674545,0.11873571,0.086462356,0.09359582,0.09289142,0.09720027,0.11389471,0.11384429,0.1057032,0.1071066
0.12988073,0.114619456,0.100964084,0.11061663,0.10707608,0.112344965,0.12047475,0.12609068,0.1280903,0.121320516
0.12699059,0.112712786,0.08984415,0.1011492,0.09629454,0.09865387,0.12617558,0.12071729,0.10728598,0.11253909
0.12617289,0.1067281,0.0858635,0.09202149,0.08768695,0.09091108,0.10323773,0.14038053,0.10061777,0.109861545
0.09709005,0.093370795,0.073988296,0.084735565,0.08592877,0.08954313,0.0869899,0.10584363,0.0932362,0.092648625
0.11797244,0.11376831,0.08511868,0.08923445,0.095280975,0.08986336,0.119787,0.12871833,0.11023591,0.10229933
0.13124332,0.11423251,0.08491124,0.08214129,0.11344618,0.09518184,0.1258575,0.12099773,0.12893064,0.12940182
0.10955331,0.1092439,0.08207821,0.09896664,0.09552259,0.10617913,0.102149144,0.10187963,0.108221784,0.10668793
0.115529574,0.10718359,0.102456294,0.12615669,0.09545954,0.11936699,0.1261504,0.10304793,0.109356515,0.11159837
0.097848974,0.105200514,0.08928399,0.09560765,0.091692284,0.09405065,0.102882564,0.09968103,0.10255861,0.093120955
0.106600896,0.11219918,0.09364255,0.101820245,0.087055966,0.09180128,0.09488709,0.10289357,0.09134123,0.10317756
0.1774071,0.12398133,0.11821255,0.12262975,0.13201514,0.12796497,0.18851595,0.1545792,0.17595129,0.16365686
0.09287095,0.08662884,0.078585565,0.07245777,0.083725445,0.07424959,0.09635629,0.09691023,0.08204646,0.087876126
0.13777938,0.12099805,0.13906723,0.1403966,0.1204952,0.13330954,0.156414,0.13384877,0.1390489,0.12516081
0.13507544,0.1226098,0.104885004,0.12344217,0.109027766,0.12014556,0.13393775,0.12253815,0.12806983,0.13970485
0.10707457,0.10580404,0.086435266,0.09391769,0.09832204,0.100836426,0.105740726,0.109752744,0.10616538,0.09718319
0.13960549,0.12797378,0.12557061,0.13210644,0.12807824,0.122579075,0.15731056,0.13835074,0.16067736,0.13547881
0.10452472,0.115357816,0.08145396,0.091335334,0.08590956,0.0894127,0.09943457,0.109241925,0.10067066,0.102176584
0.10419292,0.101078816,0.1396947,0.1349474,0.10352354,0.10708493,0.110974714,0.1074376,0.10653486,0.089639366
0.11973969,0.120586395,0.10289524,0.117293365,0.10576122,0.112371035,0.13033111,0.11752116,0.1240036,0.12109267
0.08411269,0.09040967,0.080046125,0.0971554,0.08020626,0.085952796,0.08418764,0.08775775,0.08667497,0.08207456
0.08993733,0.0972954,0.07923115,0.07834902,0.09054746,0.09133717,0.09245331,0.09513976,0.093028694,0.092383415
0.10738362,0.11366068,0.09812394,0.11006846,0.09319019,0.103469945,0.119917125,0.10469599,0.10861766,0.099932455
0.13725877,0.11657229,0.09821642,0.11460883,0.095902495,0.10525345,0.12909822,0.12617837,0.12174077,0.12574351
