assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.10287085,0.103446975,0.07230799,0.0865931,0.08070773,0.08880935,0.09343264,0.10206177,0.098796286,0.093691684
0.11250016,0.108447395,0.079921834,0.08136368,0.09337683,0.083960816,0.10202763,0.12332346,0.09664253,0.106174126
0.09357484,0.09800584,0.086420596,0.08182705,0.086752035,0.07968765,0.101292625,0.097552404,0.094601035,0.089730695
0.11078458,0.0976651,0.08687614,0.080449946,0.092575215,0.08672606,0.101298705,0.09968903,0.10227139,0.09847849
0.09480107,0.09558922,0.08548188,0.08048565,0.08565419,0.0788788,0.098100565,0.098069616,0.094008,0.08877581
0.090235606,0.10626629,0.08493845,0.08442474,0.08927522,0.08541341,0.09572494,0.10575002,0.09582008,0.08747995
0.11688186,0.09623268,0.10051432,0.11077154,0.102431044,0.109731495,0.13067092,0.11658684,0.12395182,0.110485464
0.11034294,0.11964011,0.081564784,0.0900564,0.09057221,0.09132908,0.10455371,0.1230863,0.09689261,0.104948156
0.08690187,0.10881267,0.09171769,0.08906394,0.08580265,0.09255823,0.10215844,0.0844629,0.09130909,0.087835275
0.09266612,0.09765671,0.080883875,0.08745669,0.07661807,0.08530063,0.08788198,0.1040234,0.08218287,0.08577286
0.10277764,0.107502,0.08135847,0.08197491,0.088056386,0.08173986,0.09156166,0.11600905,0.08490401,0.09122643
0.09565872,0.10528664,0.072880246,0.075818636,0.09346467,0.08708684,0.10006431,0.094018586,0.09793012,0.095858574
0.11693729,0.11431362,0.08291896,0.0800406,0.11686331,0.098931365,0.111805834,0.109398335,0.121972606,0.119519316
0.0986468,0.10357649,0.08365379,0.08811568,0.084266864,0.084735185,0.09335508,0.12572344,0.09281002,0.0875847
0.09767434,0.10796302,0.08390066,0.0842026,0.095065504,0.08398513,0.10535717,0.0993379,0.105040185,0.10362803
0.09525077,0.11184032,0.104816586,0.095407106,0.09586754,0.09515921,0.10740381,0.091515355,0.10110139,0.10018291
0.11012723,0.10493498,0.080130935,0.08112719,0.085804865,0.080278076,0.096856534,0.11313466,0.09339376,0.099450655
0.1281205,0.12730035,0.092930175,0.11057603,0.121499896,0.11580044,0.12414945,0.12670511,0.13981804,0.1314898
0.09918516,0.105120644,0.08432613,0.085067704,0.08430883,0.08716618,0.08817169,0.11787903,0.092243895,0.089332916
0.095954664,0.116249494,0.08799503,0.088004746,0.0987229,0.08870702,0.0899584,0.09606685,0.10231434,0.098573394
0.0970894,0.117325306,0.090714745,0.0930878,0.10707487,0.09866624,0.11136611,0.093528174,0.11238007,0.10407926
0.08619157,0.09840609,0.07740013,0.08210966,0.091256596,0.09393075,0.09504184,0.08887974,0.09884157,0.0863698
0.10221081,0.107328966,0.08122745,0.09081402,0.09014226,0.0971529,0.09915484,0.10538409,0.10303854,0.100534864
0.09250189,0.09124595,0.074590646,0.08525141,0.082610875,0.084863536,0.08848217,0.10554579,0.091331914,0.082031034
0.10709895,0.10674312,0.07384722,0.07993581,0.089962415,0.08521182,0.08925249,0.112531364,0.09414955,0.09954427
0.14141385,0.12477095,0.12515397,0.12522368,0.12907214,0.12993594,0.14367005,0.13048036,0.16105296,0.13983525
0.10826546,0.10109678,0.0822401,0.08725655,0.08607447,0.09179798,0.11155219,0.108592086,0.09443987,0.09632638
0.11272919,0.10954063,0.078146875,0.08442443,0.09345072,0.08832849,0.09885411,0.12014727,0.10584434,0.102910295
0.12475124,0.11634383,0.09183902,0.09092331,0.11503055,0.10391671,0.11739713,0.11427056,0.13194038,0.12344933
0.108186334,0.10309562,0.0813748,0.083906956,0.08692584,0.085575335,0.09057608,0.1174201,0.09694516,0.10064479
0.11469736,0.110141374,0.08253173,0.09037994,0.0915186,0.09029752,0.111523345,0.11922042,0.110337354,0.108387604
0.092869736,0.09958517,0.07748435,0.08727196,0.08607811,0.0895498,0.08940307,0.109797455,0.100627445,0.084692985
0.13853684,0.12170467,0.10974846,0.12614632,0.11055699,0.11537596,0.14696574,0.13382724,0.13421026,0.12570088
0.08614049,0.10357386,0.07222979,0.08008733,0.07964599,0.08584163,0.08896356,0.08984164,0.084053814,0.082317606
0.102432586,0.10034996,0.07705777,0.07677057,0.091164805,0.08184626,0.09567928,0.10503217,0.09559861,0.09497387
0.13399118,0.11937714,0.09216746,0.08629089,0.13019769,0.100955874,0.12265423,0.118191384,0.14324929,0.13491054
0.11371975,0.10767741,0.083300896,0.091524504,0.08669856,0.09117669,0.10846251,0.122751705,0.10638863,0.10230595
0.09221074,0.10040065,0.07597883,0.08264581,0.08234597,0.08809258,0.09203929,0.09579125,0.092087984,0.0894708
0.117354624,0.104242966,0.08855139,0.09206477,0.092314005,0.09130309,0.10875883,0.12462012,0.100087345,0.10404626
0.106659666,0.103378,0.075432815,0.07896459,0.08930863,0.08585396,0.102889,0.09781495,0.097999476,0.09921873
0.091796786,0.09925265,0.08159831,0.08008322,0.08580141,0.08092695,0.09298132,0.09452718,0.10604466,0.08887739
0.11290106,0.10395904,0.08650375,0.08185128,0.11178198,0.09945056,0.105235174,0.1087639,0.1288262,0.11398831
0.10600654,0.10169548,0.0861129,0.0840953,0.09567427,0.09265374,0.10111718,0.10670825,0.09165875,0.097773746
0.09056987,0.10383156,0.073582,0.086562835,0.09183726,0.10116167,0.09789901,0.088063486,0.10317047,0.08759468
0.10110873,0.105261736,0.087686874,0.08870756,0.09581168,0.08817588,0.10421069,0.10078838,0.11049223,0.098716736
0.112360865,0.10764641,0.075643785,0.08062946,0.10220151,0.0862968,0.10664346,0.110944785,0.104245305,0.11537111
0.11523212,0.09876599,0.08893236,0.0925886,0.0854096,0.09394588,0.11561562,0.11932347,0.09822174,0.09803043
0.07867461,0.0892198,0.07441764,0.08818739,0.07147971,0.08487299,0.07922313,0.0944868,0.09205781,0.06894877
0.108841054,0.10565097,0.08563968,0.08705821,0.08612889,0.08340865,0.10528755,0.11275104,0.102489494,0.10194769
0.106133506,0.11139785,0.08495427,0.09005004,0.09819972,0.09170271,0.10779778,0.10282162,0.110524796,0.10404814
0.13998644,0.11392416,0.10302671,0.12843442,0.10311934,0.11942166,0.13635568,0.13025522,0.1405493,0.12767199
0.11652404,0.11574642,0.08783765,0.090506785,0.10524592,0.1052016,0.11311563,0.11071223,0.11685281,0.11577829
0.105181426,0.100892365,0.08072516,0.08708174,0.084348746,0.08328125,0.094856046,0.12156684,0.094553515,0.09351586
0.11578717,0.12196578,0.08974251,0.097468294,0.10160367,0.10224498,0.10870034,0.110076025,0.11967791,0.11217702
0.121323645,0.121218964,0.0985442,0.09608444,0.09978111,0.09238493,0.12583593,0.11599484,0.109097786,0.11693022
0.1121064,0.10399954,0.08567929,0.091512874,0.0899892,0.0937568,0.10424895,0.10574316,0.11604556,0.11628496
0.105564736,0.1087502,0.08062723,0.091789335,0.10389765,0.105039924,0.09540317,0.10009347,0.1106768,0.108039245
0.10826546,0.10109678,0.0822401,0.08725655,0.08607447,0.09179798,0.11155219,0.108592086,0.09443987,0.09632638
0.08695808,0.09241108,0.087333046,0.077930324,0.08329964,0.078806855,0.091383666,0.086211495,0.07860836,0.08189583
0.12001909,0.113300346,0.07489627,0.08655271,0.08629425,0.089849345,0.09856126,0.121535435,0.101015896,0.10870577
