bias,conspiracy,hate,satire,junk,state
0.1407598,0.1340863,0.13361217,0.14571063,0.13265736,0.14740555
0.16208936,0.17763184,0.15510063,0.19316052,0.16779478,0.14522377
0.16377518,0.15671846,0.15161416,0.16967586,0.15610749,0.1730668
0.16554506,0.16039546,0.15409389,0.19029649,0.16708541,0.15157923
0.13351446,0.12376949,0.13683203,0.14044085,0.14200056,0.1591795
0.16278423,0.15288107,0.14086977,0.1766661,0.13933322,0.15247074
0.14480357,0.15433057,0.15783902,0.1722332,0.1472255,0.14838062
0.14321135,0.14536643,0.13231899,0.15459591,0.1445548,0.13171455
0.13825981,0.13733885,0.13452522,0.1430581,0.123568304,0.15246773
0.15759172,0.15857036,0.14375135,0.1768087,0.15541606,0.15642306
0.11725982,0.12054229,0.111105286,0.13212648,0.13884458,0.10753724
0.12625106,0.13080028,0.12962693,0.15778452,0.12722936,0.12878788
0.15489691,0.16713734,0.15536928,0.19117856,0.1524215,0.14169665
0.14353082,0.13467255,0.14617977,0.14386335,0.121860966,0.15922621
0.13509534,0.133623,0.13635898,0.1555986,0.1296925,0.15454246
0.14724122,0.14228636,0.1283246,0.16400337,0.12182173,0.13859743
0.15094271,0.15331367,0.14619696,0.16505267,0.14203653,0.14413717
0.12311664,0.12292274,0.12672547,0.14143492,0.12170851,0.15171981
0.125748,0.12479184,0.12175236,0.13604386,0.13071135,0.119204216
0.17615277,0.15603651,0.14924069,0.18984905,0.15848017,0.16674782
0.13167843,0.12904859,0.1254796,0.14403477,0.14166924,0.12534131
0.14815691,0.14408585,0.1462892,0.15263875,0.1443056,0.15989639
0.14967094,0.14337866,0.13655633,0.1636431,0.13563363,0.13776779
0.18022588,0.16068357,0.16186768,0.1808949,0.15580387,0.17556542
0.1636538,0.15924184,0.15071318,0.18039407,0.15677372,0.15123697
0.15890545,0.13547412,0.124114715,0.15217738,0.14602973,0.16558518
0.14189981,0.14296173,0.1579223,0.1639734,0.10891643,0.13743655
0.15663978,0.15028535,0.14890736,0.16654485,0.1412803,0.15803182
0.16118291,0.15189481,0.14822188,0.1708769,0.1428955,0.15471251
0.15978304,0.16815981,0.14584103,0.16979793,0.14862853,0.16418676
0.16389947,0.16670972,0.15677224,0.17999013,0.15202461,0.15979445
0.13961944,0.14559212,0.13957374,0.15970416,0.122208714,0.14414972
0.14457761,0.14353178,0.14449407,0.14508353,0.1276935,0.18452197
0.13673568,0.14275198,0.12635827,0.15427223,0.14233309,0.12608594
0.15320252,0.14843342,0.14463477,0.16054958,0.147191,0.14364631
0.15563646,0.1463875,0.149722,0.18023494,0.1571247,0.17776015
0.14687696,0.15342793,0.14610252,0.15862301,0.1449095,0.15688656
0.16281816,0.15507182,0.14981654,0.16165328,0.1411272,0.1792833
0.15811206,0.15421376,0.15263169,0.16757458,0.13908078,0.16113514
0.1621768,0.15196292,0.14759266,0.15671599,0.14209364,0.15862212
0.15347041,0.14723685,0.13359037,0.15772997,0.14291954,0.14261082
0.17626865,0.1522193,0.14785217,0.18760444,0.16649067,0.16507678
0.14579684,0.15155405,0.14157054,0.15223844,0.13482705,0.15457474
0.16570815,0.15841451,0.15074314,0.19044068,0.16844343,0.16070867
0.14182156,0.14602982,0.14813618,0.14618985,0.123184696,0.17836128
0.15847564,0.1495705,0.15016788,0.17382506,0.13810265,0.1523624
0.16852926,0.16371064,0.15505235,0.19306259,0.1758621,0.16181079
0.11006365,0.11899559,0.11004602,0.12730503,0.11609145,0.10445247
0.16181551,0.14575857,0.13789697,0.13726382,0.13046128,0.16584718
0.1542976,0.13437617,0.13887659,0.13630609,0.1361931,0.17418656
0.1699782,0.15700474,0.14647226,0.17798103,0.15129413,0.16856351
0.1480391,0.13308051,0.13967697,0.14972956,0.12279372,0.16601166
0.15959522,0.15993704,0.15414296,0.18923233,0.15934484,0.15632
0.15091392,0.14868212,0.14331824,0.16861804,0.14010707,0.145583
0.13435271,0.14116603,0.12906785,0.14991261,0.16267893,0.1328563
0.14709711,0.15776338,0.15286224,0.1622794,0.14373975,0.15791139
0.1372378,0.1284182,0.13795766,0.14455122,0.12521788,0.159827
0.16750294,0.15329356,0.14071736,0.15373024,0.14986524,0.16390538
0.14750414,0.13836043,0.1393832,0.15067422,0.124985486,0.16062115
0.1604919,0.15211181,0.14765671,0.16876142,0.15399803,0.16866939
0.17342049,0.15694,0.15341274,0.17406254,0.15783052,0.17702389
0.13496417,0.11950555,0.120408565,0.121546194,0.112737276,0.13656244
0.1554389,0.14562741,0.15007609,0.16035692,0.14072566,0.17461081
0.13554788,0.13616994,0.12461989,0.15307634,0.14310251,0.12999198
0.14689746,0.1339253,0.12474888,0.14212017,0.12721922,0.13052973
0.14831163,0.15351385,0.13713703,0.16960284,0.14601241,0.13083868
0.16697146,0.1636122,0.16091052,0.18222499,0.14610131,0.1737553
0.15325548,0.15826344,0.14459756,0.1610382,0.14787015,0.15319832
0.1655496,0.16219518,0.16244294,0.16983405,0.14714222,0.16250324
0.14735551,0.14238735,0.1450479,0.14985043,0.15234606,0.1603517
0.13288096,0.119172186,0.12897785,0.1178147,0.115554154,0.13777296
0.17128448,0.15137886,0.14893632,0.176856,0.14329997,0.15223977
0.13267998,0.13109371,0.1398533,0.15857191,0.13109024,0.1856906
0.1431535,0.14328422,0.15641718,0.16036262,0.13237198,0.15787764
0.15681152,0.14976709,0.14084087,0.15928271,0.14659742,0.16026114
0.1572927,0.16644934,0.15246014,0.18264458,0.15780109,0.14619936
0.1615646,0.16648902,0.14945066,0.1809135,0.1516741,0.15377197
0.15075244,0.16140424,0.1546721,0.17312314,0.1397369,0.14940304
0.13387023,0.12306618,0.107923254,0.09862431,0.10663733,0.14673619
0.1257086,0.13060008,0.1375596,0.14152485,0.13753435,0.12800363
0.16580082,0.1751138,0.17132196,0.19474371,0.15065025,0.177785
0.13934423,0.1503707,0.15626314,0.16859886,0.13227342,0.14129934
0.1767931,0.18044315,0.1570332,0.2114763,0.17027748,0.16027346
0.14962961,0.13532086,0.14045493,0.15435743,0.1274578,0.15999456
0.14370275,0.13018467,0.1274134,0.15125655,0.14101012,0.13838997
0.13371177,0.13414568,0.14864674,0.15383981,0.12517487,0.17488484
0.15906213,0.16980961,0.15468124,0.18847935,0.16725223,0.15020844
0.15609007,0.16024396,0.14567228,0.19088627,0.17214073,0.13537993
0.17184153,0.1598943,0.15714435,0.19010493,0.16831706,0.18416946
0.146037,0.14483498,0.14244251,0.15905431,0.14103153,0.16387603
0.12555188,0.12837115,0.12726285,0.1532487,0.123944774,0.13218862
0.15234774,0.14786343,0.13175233,0.14240272,0.13905485,0.14341803
0.14176007,0.13734986,0.14294851,0.15215953,0.12600799,0.16407996
0.15695357,0.14658476,0.14438903,0.1684836,0.15129872,0.14500892
0.1286264,0.15967831,0.12377853,0.16397785,0.13913879,0.1102092
0.14864744,0.15099163,0.1538343,0.16917248,0.13019758,0.14497739
0.16317314,0.1653995,0.14621083,0.17362489,0.15726155,0.15509796
0.13727681,0.12865092,0.12797923,0.14410739,0.13952738,0.13645537
0.14515871,0.14343038,0.14255962,0.1543255,0.11741066,0.15207273
0.11406225,0.109133214,0.11733711,0.12707008,0.09885698,0.13871005
0.16303481,0.16933325,0.14944467,0.18704471,0.15665781,0.1469394
0.16862631,0.16135746,0.16234966,0.18232366,0.14949426,0.16830914
0.14068998,0.16422863,0.15279663,0.17571764,0.13352934,0.15671286
0.17528532,0.15902485,0.15411022,0.17643687,0.15281259,0.17090182
0.15457524,0.15239736,0.13873318,0.15841746,0.13646185,0.15189113
0.14685872,0.1423501,0.15630002,0.17254351,0.13626975,0.15190224
0.17141886,0.17064151,0.16535804,0.1850589,0.15340135,0.17253064
0.15810318,0.15021434,0.14606375,0.16759738,0.13394329,0.15089671
0.14947903,0.14538744,0.14768806,0.1749292,0.16841207,0.1667837
0.16399387,0.15729336,0.14683668,0.16965553,0.14315295,0.16051611
0.16059288,0.16316223,0.15874736,0.17724034,0.15576583,0.1661241
0.14841422,0.14833263,0.14375402,0.14189377,0.13578783,0.17536883
0.15620333,0.1438221,0.14785703,0.17569101,0.14907542,0.1574488
0.16282275,0.15714015,0.15553716,0.17548905,0.15287638,0.16595274
0.14772247,0.15561344,0.15445228,0.18056522,0.15281896,0.12531106
0.1482875,0.15481357,0.16433507,0.15526448,0.12772328,0.17482826
0.15609798,0.15967447,0.15083763,0.16982554,0.15284619,0.15058723
0.14055598,0.1430895,0.13710462,0.16240022,0.1434092,0.13463871
0.14966999,0.15598886,0.1639015,0.16442412,0.1301994,0.1732358
0.1615306,0.14757921,0.15720855,0.18602946,0.16364622,0.17767267
0.14803971,0.15159869,0.14972968,0.16952713,0.14468849,0.14961773
0.14179043,0.14534408,0.14165732,0.1670092,0.13328806,0.13279168
0.14950466,0.14232965,0.15113007,0.16612388,0.16759422,0.1586015
