bias,conspiracy,hate,satire,junk,state
0.12664169,0.14078553,0.13029681,0.13496998,0.111972146,0.13063419
0.1356326,0.11888725,0.13190567,0.10192135,0.10532205,0.1394062
0.12052669,0.12570162,0.12794837,0.13398181,0.10433998,0.1435501
0.11781748,0.12094515,0.12327353,0.13584597,0.12642412,0.11045583
0.13504182,0.12095687,0.122424565,0.11419155,0.11161881,0.1398979
0.118160635,0.12790391,0.11020466,0.15850832,0.13162293,0.10331636
0.1397001,0.13747649,0.11870896,0.13038073,0.11678185,0.12839822
0.11305476,0.11217566,0.10746691,0.13511507,0.11787938,0.11731243
0.15599206,0.13886544,0.12756044,0.14652205,0.12505035,0.148285
0.16020796,0.1403834,0.134973,0.14488834,0.12487869,0.15618111
0.10385159,0.106703244,0.10739651,0.110854976,0.11989661,0.12419004
0.12560995,0.11887849,0.1093199,0.11796607,0.117324404,0.12808579
0.11920242,0.12933715,0.110089906,0.13267143,0.09758233,0.12425025
0.13527457,0.1292303,0.112106435,0.09770748,0.103542246,0.14794712
0.1488116,0.12906963,0.12541269,0.13090807,0.10343567,0.14380346
0.10032859,0.10112675,0.099338315,0.10196138,0.09580172,0.092859164
0.12752911,0.1264038,0.14731964,0.13789582,0.106100194,0.16205819
0.15015115,0.12976122,0.117666915,0.1397712,0.1114951,0.13628946
0.13190436,0.13714716,0.123367935,0.1759196,0.14070638,0.10537679
0.107205644,0.10924642,0.11459558,0.11877619,0.101291075,0.15518375
0.11900792,0.1148831,0.13454859,0.10853112,0.11157689,0.13838147
0.13520044,0.12963389,0.11162871,0.1493336,0.13372068,0.1455984
0.12677038,0.12778746,0.12319989,0.12441259,0.10753767,0.16663632
0.0976466,0.12605654,0.10749388,0.117746435,0.09614492,0.12017082
0.15557972,0.13009621,0.13080685,0.1456532,0.114081524,0.1390027
0.13970429,0.13141651,0.1276312,0.13826494,0.13624898,0.13689256
0.12178237,0.116753876,0.12916224,0.13749126,0.10428574,0.12341739
0.13203153,0.12569976,0.12537216,0.12574404,0.12307012,0.14183259
0.14178608,0.12000979,0.12772481,0.13225038,0.10592229,0.1450597
0.15120709,0.13239093,0.11575928,0.11132232,0.11952116,0.15100065
0.14155114,0.13967307,0.1277504,0.14738809,0.121506125,0.15246457
0.12650023,0.13781989,0.13856444,0.13691248,0.1035702,0.145371
0.11421865,0.112115756,0.09907305,0.12134658,0.112222165,0.10073544
0.1089309,0.117072865,0.12106128,0.13014683,0.1137383,0.114541754
0.12499444,0.12227903,0.11860361,0.14499412,0.122933105,0.13455312
0.12646572,0.12457687,0.12383079,0.11243974,0.093099505,0.14338513
0.12469198,0.12032262,0.11422988,0.16859135,0.12707306,0.11415527
0.1388866,0.13574919,0.13362569,0.1678971,0.13035682,0.15144417
0.10206763,0.10828147,0.10966425,0.109225355,0.10836239,0.097254924
0.13922353,0.12534593,0.12556762,0.13269402,0.11524908,0.1495084
0.14581913,0.12467148,0.12279133,0.11722747,0.10120121,0.14271809
0.1398711,0.13406125,0.126218,0.15145633,0.13321346,0.14208497
0.13258304,0.12580264,0.12633115,0.13299793,0.10962276,0.16065116
0.1375545,0.13231252,0.12606621,0.12157575,0.13267289,0.13991559
0.12617338,0.1231564,0.11724335,0.1436542,0.12753564,0.13031028
0.14249758,0.13796543,0.12974274,0.13046184,0.11843649,0.15047209
0.12922713,0.12806916,0.12711707,0.1371355,0.10707858,0.13760763
0.11770088,0.12078334,0.11646798,0.11249915,0.09835317,0.12593074
0.12915689,0.12670681,0.11647499,0.17360693,0.13368727,0.11453975
0.12463144,0.12154355,0.12407473,0.12745637,0.101377584,0.1753206
0.11189056,0.11436682,0.11119396,0.1348707,0.11936759,0.11346645
0.14512914,0.13126034,0.12962793,0.12608762,0.12578812,0.14427695
0.12520038,0.109244086,0.12811254,0.13208699,0.09810083,0.11675963
0.1300784,0.122674465,0.112503044,0.12985252,0.12006911,0.13579641
0.11799815,0.13461454,0.11218191,0.13143536,0.103373006,0.11885609
0.12335344,0.1175412,0.12679121,0.11156271,0.1070407,0.15139969
0.12691098,0.11674146,0.11238288,0.105754234,0.096719824,0.13657473
0.12519382,0.13401462,0.123783454,0.14113517,0.11304149,0.12919858
0.11904873,0.11811265,0.11620828,0.1334799,0.12083532,0.12484103
0.10079504,0.10406569,0.105078414,0.09522013,0.111402005,0.10607313
0.12914677,0.13173488,0.12337197,0.13166894,0.1307504,0.13166615
0.1320529,0.11297317,0.1271257,0.12008049,0.11597199,0.13375373
0.13667516,0.13758859,0.12367512,0.14631483,0.11970115,0.13489501
0.13516216,0.12139927,0.12460135,0.14237444,0.12435127,0.1364043
0.12662844,0.12331473,0.119708575,0.14031576,0.12915248,0.11917205
0.09895126,0.10455686,0.10290267,0.10896078,0.10332612,0.100130074
0.12030027,0.12592524,0.11537325,0.13412547,0.122742966,0.11619318
0.114725806,0.11889042,0.11549128,0.13679685,0.12283728,0.13040493
0.112001,0.12007151,0.10272684,0.15259808,0.11543451,0.09589964
0.12231752,0.12702838,0.12038226,0.13280796,0.13194756,0.12703173
0.13168402,0.112381294,0.12892759,0.09341142,0.09817959,0.14862025
0.139897,0.13466313,0.13372037,0.13343497,0.122815855,0.15156506
0.14007571,0.123375796,0.122904405,0.1223736,0.10350547,0.13939865
0.12689959,0.11127597,0.11170865,0.1360692,0.11341939,0.1507082
0.13093264,0.14893177,0.13263178,0.15259197,0.11874691,0.1356307
0.11306289,0.11988516,0.1303074,0.12841347,0.09389732,0.14855872
0.14342524,0.12569611,0.11491651,0.13297766,0.117251895,0.13542809
0.13328539,0.13827407,0.12963438,0.121766455,0.10568581,0.14182335
0.11643152,0.100290544,0.10367859,0.10833615,0.101713926,0.11250235
0.14111799,0.1334373,0.12615247,0.1208032,0.10855069,0.14757594
0.1208412,0.12711732,0.118063286,0.14333588,0.11032614,0.123621136
0.11227199,0.114980884,0.12188593,0.11828935,0.11265638,0.14015809
0.09598932,0.104022406,0.1150937,0.109327085,0.1345695,0.10412531
0.11878511,0.12200325,0.10632602,0.14243588,0.12711757,0.0998436
0.13293633,0.123106435,0.11438021,0.15109283,0.14807439,0.12697545
0.13463308,0.121641666,0.11588809,0.14065872,0.12763989,0.11468638
0.11231887,0.108522326,0.105139606,0.116141446,0.10345296,0.1337687
0.15753898,0.13613614,0.14516784,0.14983112,0.12422827,0.142338
0.12279595,0.12193747,0.123142816,0.11111244,0.09094551,0.18037167
0.13728923,0.12939478,0.12551181,0.13055079,0.12220087,0.14176874
0.12914677,0.13173488,0.12337197,0.13166894,0.1307504,0.13166615
0.1407222,0.12611614,0.122509465,0.1384854,0.11095182,0.1451659
0.14511448,0.1333191,0.121424615,0.15262814,0.123492874,0.13746983
0.13923761,0.12637681,0.121904075,0.132231,0.1109849,0.13787642
0.137496,0.12796186,0.13494048,0.13422157,0.11616833,0.15907647
0.14308417,0.13489479,0.12008938,0.12030577,0.13102795,0.14423202
0.10246256,0.11004696,0.09642161,0.11351338,0.11578366,0.08864737
0.14351963,0.13017355,0.12023713,0.15039648,0.12763187,0.1408627
0.15270855,0.12839502,0.12815708,0.15529498,0.130474,0.13292679
0.15064825,0.14362824,0.13361783,0.16173846,0.13311756,0.14186971
0.16351214,0.1437065,0.1354919,0.14916101,0.13382716,0.17209028
0.14493692,0.13318671,0.12610227,0.15629156,0.14147693,0.15024595
0.13001466,0.12580909,0.117262505,0.13799517,0.123529725,0.12033931
0.13914767,0.121921,0.12473356,0.15141197,0.12592997,0.12984288
0.13779566,0.11841007,0.11290076,0.13299921,0.107594885,0.122134686
0.13459598,0.13848436,0.12348594,0.1774772,0.13430662,0.11941959
0.1345797,0.13647993,0.1204561,0.14954287,0.11130301,0.1315821
0.12216845,0.123249434,0.12315279,0.12558044,0.11467332,0.12247026
0.135308,0.12617697,0.13420488,0.14361706,0.11367857,0.14368503
0.1234308,0.11434981,0.10771926,0.10816084,0.10543296,0.12763967
0.1418869,0.12629758,0.1220661,0.13755496,0.12092873,0.15245304
0.12137881,0.1345019,0.107383594,0.13429682,0.10565283,0.12719645
0.12377566,0.119629465,0.11689336,0.11686802,0.10491747,0.13088718
0.1500176,0.14605385,0.13816072,0.1435541,0.12756388,0.16288437
0.14747623,0.12388388,0.10784359,0.1145855,0.11105275,0.1480939
0.115237385,0.1268635,0.1245531,0.13873583,0.10961515,0.11257461
0.15868169,0.1388902,0.12752296,0.13741392,0.11583701,0.15791544
0.11731867,0.11672429,0.11252724,0.12603208,0.092841044,0.13647783
