bias,conspiracy,hate,satire,junk,state
0.1080678,0.099709466,0.10544032,0.10876887,0.11353281,0.11746767
0.13072668,0.13123207,0.13857436,0.14016514,0.13428684,0.13247526
0.1186036,0.11850498,0.11157342,0.13559066,0.13279659,0.108176045
0.11722639,0.11134144,0.12011754,0.13997757,0.10737858,0.11440989
0.12701505,0.12750213,0.1331653,0.11673762,0.11411896,0.13615124
0.1332416,0.1371251,0.13085061,0.1376587,0.13818936,0.122240864
0.11582724,0.12011681,0.12617381,0.14567783,0.109489396,0.12241812
0.11409376,0.1124939,0.115765326,0.12806359,0.116660744,0.12238709
0.12683728,0.113498926,0.11824543,0.102530405,0.0921412,0.14531143
0.10520259,0.11053058,0.11041966,0.11887668,0.112024814,0.12070678
0.112490155,0.1075703,0.11308873,0.11915975,0.11834359,0.13860281
0.14330982,0.13867547,0.1324814,0.16375853,0.13446392,0.14075948
0.113726184,0.12112542,0.12716635,0.11351986,0.1305854,0.13933028
0.12163132,0.1194414,0.124289885,0.15272978,0.11606526,0.13424991
0.11235131,0.1183237,0.11339931,0.115363576,0.1089425,0.1291355
0.11737294,0.11448487,0.11180837,0.13031852,0.1068742,0.12281748
0.101132914,0.11102461,0.10530403,0.121061005,0.10761476,0.11861423
0.12051773,0.119157754,0.118660726,0.13923086,0.13609193,0.117213406
0.10678577,0.100871325,0.101008065,0.101672575,0.09051042,0.11270867
0.12668942,0.13003622,0.12922658,0.15392502,0.12975399,0.12443492
0.11146513,0.11975217,0.11766468,0.13313156,0.10194721,0.11850804
0.12665753,0.11845133,0.122018,0.13160811,0.09975406,0.12375994
0.119815655,0.11400461,0.11195092,0.13187756,0.12958524,0.114066966
0.11508133,0.1155371,0.11269596,0.121815406,0.104526244,0.13866617
0.12710449,0.111892045,0.10950212,0.14310233,0.104343854,0.12502003
0.11665631,0.116073474,0.113483034,0.13697277,0.12520947,0.11434466
0.12930824,0.11865659,0.12012981,0.12559333,0.11426542,0.14203247
0.11984062,0.11870512,0.12604368,0.14354545,0.119760804,0.11398162
