bias,conspiracy,hate,satire,junk,state
0.13502285,0.15325773,0.114635326,0.13333182,0.11702461,0.13645203
0.15570115,0.15794274,0.13898261,0.1732309,0.14387618,0.14020203
0.14441212,0.13795426,0.14096123,0.14771144,0.115571484,0.14571053
0.16551098,0.16992083,0.14655413,0.19085424,0.15612157,0.14837687
0.13144398,0.13928105,0.119677834,0.14324616,0.12450788,0.12584569
0.14375097,0.15960129,0.14207093,0.17077199,0.12603047,0.14039086
0.15891023,0.15567741,0.13948965,0.1647909,0.14665686,0.15321183
0.14415905,0.15220337,0.13809891,0.17785446,0.14040267,0.13788791
0.13524443,0.1372663,0.12548754,0.14152257,0.105441175,0.13682802
0.13257363,0.13240232,0.11167761,0.11957524,0.09683024,0.13611434
0.14913745,0.15443088,0.134629,0.16589057,0.13910605,0.13819635
0.1368582,0.14893378,0.13094665,0.15645295,0.14391868,0.13289775
0.14140032,0.14767216,0.12896967,0.16620569,0.12140257,0.12966827
0.13748834,0.15877558,0.13006629,0.1670682,0.13423784,0.13213058
0.14868687,0.14262217,0.13484164,0.12492051,0.10698234,0.16583331
0.14124124,0.14569727,0.13066204,0.14473933,0.12616469,0.14275736
0.13533546,0.13009816,0.119284555,0.15462476,0.14034858,0.11506205
0.15238933,0.15170093,0.13477741,0.16264343,0.13157763,0.15122378
0.14139223,0.14624739,0.12753826,0.13893238,0.113516286,0.14461708
0.17999266,0.18614855,0.1682329,0.20897636,0.17126586,0.16031136
0.15217957,0.16070363,0.14167297,0.17982571,0.13368356,0.14387733
0.14275382,0.15095665,0.14217709,0.17114072,0.14300376,0.12717934
0.1484074,0.16173051,0.13729478,0.17058952,0.13168482,0.14484936
0.16480972,0.17469642,0.16534068,0.18338734,0.14746407,0.16058868
0.14021808,0.12724459,0.12173192,0.13455246,0.114131525,0.13700882
0.14871651,0.15694101,0.13692439,0.15569785,0.12765001,0.1438886
0.14206448,0.13268727,0.12616056,0.123114556,0.114629224,0.14258893
0.14325485,0.15193757,0.124393865,0.16337822,0.13100024,0.13346279
0.13553502,0.14631334,0.13651831,0.16369194,0.12558796,0.13456167
0.15791152,0.17088287,0.14825155,0.2009193,0.16450071,0.1378709
0.1709597,0.17894563,0.16431108,0.21935502,0.16598201,0.15005855
0.14815614,0.13786997,0.11905664,0.13159156,0.12176829,0.1368552
0.14472683,0.16135727,0.13396364,0.18639192,0.14187936,0.12832893
0.14308788,0.1439842,0.12594517,0.14603752,0.118142694,0.14592446
0.14739837,0.14454962,0.14329562,0.18716334,0.12926564,0.1303347
0.15131663,0.16015148,0.14108336,0.1860928,0.14844334,0.13671517
0.16400975,0.1632274,0.14982414,0.17509842,0.14782429,0.15476047
0.14827487,0.14865482,0.1368672,0.1825507,0.14325573,0.12910655
0.140299,0.14767642,0.13049096,0.16479565,0.131977,0.13216399
0.1472739,0.15065864,0.13938084,0.17359696,0.13289255,0.14106104
0.14650561,0.15010817,0.1382874,0.1807304,0.12275725,0.1369035
0.14072073,0.14374082,0.13390847,0.16568074,0.12895684,0.13184316
0.15528762,0.15502237,0.129325,0.16573744,0.15023288,0.13914923
0.15584606,0.15349902,0.139216,0.17384003,0.13780703,0.14653806
0.15122035,0.16491446,0.1445892,0.18706428,0.16220327,0.1380744
0.11820632,0.1286117,0.1097098,0.12865977,0.11425336,0.1123627
0.14232624,0.1523047,0.13047874,0.17159592,0.14574102,0.1290156
0.14251873,0.15017584,0.1279132,0.16382515,0.14493904,0.13315113
0.14890555,0.15079391,0.12673327,0.15539664,0.1302248,0.14551136
0.15664355,0.14925295,0.1386669,0.16151299,0.14987458,0.15202479
0.16297571,0.16476096,0.15562306,0.16247891,0.13895638,0.16239513
0.12778625,0.12776771,0.12417766,0.14254037,0.11209062,0.12223848
0.13940698,0.15685895,0.12037956,0.15589222,0.12757607,0.12572621
0.13864979,0.13357793,0.12188867,0.14457527,0.11325164,0.13412777
0.15864258,0.16528398,0.145472,0.17685102,0.13795115,0.15039156
0.15598862,0.14648762,0.13402936,0.14879647,0.13849601,0.1583873
0.12902664,0.14870828,0.12270954,0.15279748,0.13111816,0.113821395
0.14925309,0.16482668,0.13012034,0.17125665,0.14988655,0.13832135
0.13855511,0.13550156,0.12039985,0.14985834,0.120755486,0.13245149
0.15056188,0.15790755,0.13480204,0.17558734,0.1385794,0.14256404
0.15530628,0.15888329,0.155424,0.17574058,0.14776434,0.15373549
0.13999142,0.14349033,0.1328564,0.15056434,0.13425449,0.13177879
0.15274149,0.1518906,0.13266596,0.15522873,0.1277902,0.15005551
0.12631476,0.13220748,0.11671,0.13848326,0.11053702,0.11646039
0.15780234,0.16465878,0.14935571,0.20509042,0.15486652,0.13756008
0.143073,0.15088546,0.1317711,0.17314994,0.12768638,0.12802209
0.14782995,0.15629227,0.1326284,0.16231185,0.14105967,0.14991438
0.14385484,0.14185454,0.13526483,0.14476795,0.115931705,0.15308085
0.13768262,0.1381453,0.12861843,0.16177846,0.13376178,0.12157006
0.16347115,0.16785794,0.15921193,0.1898836,0.15758353,0.16479433
0.12393924,0.13428682,0.1171198,0.11182649,0.104407296,0.13195424
0.14348198,0.14917229,0.12878212,0.15029262,0.12550388,0.14060119
0.15497066,0.15779644,0.13966845,0.16322838,0.13038966,0.15320314
0.14132594,0.14647944,0.12490819,0.14993955,0.13008611,0.12807861
0.15992227,0.16381547,0.1591842,0.1847644,0.14633852,0.15104835
0.13280933,0.13462903,0.12075623,0.15069716,0.1360154,0.11829832
0.15248775,0.15333895,0.152405,0.1760473,0.1409785,0.1478866
0.1646475,0.16878372,0.15559395,0.20845802,0.15807739,0.14859639
0.143568,0.13773385,0.13040859,0.13372564,0.111550525,0.14143994
0.15298317,0.15505616,0.14853342,0.17685895,0.1446379,0.14710592
0.1542346,0.15162952,0.14071089,0.1654269,0.12359135,0.15057254
0.14300515,0.14310138,0.12364814,0.122230366,0.11715926,0.14295895
0.14085625,0.14716423,0.12702906,0.1518224,0.13372967,0.13254893
0.13771296,0.13963628,0.12779263,0.15569688,0.112877905,0.12915483
0.12544149,0.12522477,0.11853553,0.13046888,0.1274287,0.12371077
0.13365248,0.14138643,0.12454214,0.14047097,0.11094732,0.13723153
0.11816309,0.1314049,0.11556981,0.13535106,0.12493934,0.10949893
0.14815392,0.17031059,0.13419507,0.17457777,0.14577936,0.13472538
0.13534488,0.121870846,0.12404863,0.12267102,0.105888665,0.14563873
0.17256835,0.17867388,0.1598819,0.21471652,0.17184958,0.14787014
0.14069296,0.14552556,0.13531922,0.15663995,0.12252893,0.13467942
0.1443737,0.15028882,0.12912562,0.16209519,0.13231741,0.1327798
0.15688479,0.16227809,0.15560363,0.169489,0.14242007,0.16585661
0.14234236,0.14670111,0.1292477,0.14911512,0.12500863,0.14187883
0.16162728,0.1666815,0.14992525,0.19129854,0.16173501,0.13956667
0.16071907,0.16014959,0.14584917,0.18460849,0.14647333,0.14599551
0.14923441,0.16835797,0.14479877,0.16620556,0.13746019,0.14500089
0.14667264,0.1497037,0.12923943,0.1548202,0.13117592,0.13270037
0.15224247,0.14093322,0.13447066,0.155907,0.13504076,0.15096071
0.13811901,0.13955347,0.121945664,0.13504137,0.11455583,0.14248067
0.12308214,0.12751783,0.13778655,0.15422522,0.1280749,0.121603854
0.14584157,0.16123126,0.12885661,0.1739361,0.14593832,0.1327386
0.1423429,0.1578406,0.1266798,0.15056261,0.12777498,0.13970129
0.14332366,0.14751443,0.12878257,0.15853661,0.12077264,0.13625498
0.14101654,0.15132892,0.13054231,0.16992119,0.15361114,0.12664802
0.117951795,0.12552409,0.09539571,0.123463795,0.101813376,0.107440814
