bias,conspiracy,hate,satire,junk,state
0.13607627,0.12101968,0.11742659,0.13442902,0.12493541,0.12854137
0.11404455,0.112685785,0.12190618,0.13865973,0.11095194,0.12615052
0.10161136,0.107881576,0.11215911,0.12810944,0.11263578,0.11597888
0.1439913,0.15665239,0.1432833,0.18615791,0.15334831,0.13035816
0.10158216,0.10698969,0.11109872,0.12801263,0.112830885,0.11368661
0.12929429,0.1290834,0.12790412,0.13741548,0.13012445,0.1512342
0.10872963,0.118166015,0.109531306,0.12596893,0.13361871,0.11491372
0.13186403,0.12535016,0.12571074,0.11958959,0.101649374,0.15219106
0.1600731,0.15869477,0.14696866,0.16185188,0.14158197,0.16067652
0.1011789,0.11236158,0.11154454,0.12093191,0.1216467,0.11396093
0.13278623,0.12986915,0.1273501,0.14798084,0.1226654,0.14464977
0.13114962,0.11869442,0.11850221,0.1297944,0.13232756,0.13927087
0.12548612,0.12339581,0.12368714,0.14280064,0.14887093,0.1381162
0.10782673,0.10110478,0.09912179,0.119935825,0.10921859,0.11491398
0.14264561,0.14560962,0.1426925,0.15852813,0.16041896,0.1357349
0.14891371,0.15809764,0.14160152,0.18174917,0.15943126,0.14064096
0.12579566,0.12262494,0.12102191,0.14162268,0.13349709,0.1341531
0.121310264,0.1181045,0.13917308,0.13580559,0.13328117,0.14854327
0.13421305,0.13453285,0.119936176,0.14443901,0.11259763,0.14710906
0.123032466,0.124010935,0.13084155,0.1360454,0.13268965,0.15593624
0.13681975,0.12729423,0.12028133,0.115967475,0.12729052,0.14305733
0.13276857,0.12826775,0.12483156,0.14234796,0.14694694,0.13969654
0.119817585,0.11600511,0.11812283,0.1112757,0.10545799,0.13147731
0.09384312,0.09506741,0.09713196,0.08308512,0.12408988,0.09638474
0.10682258,0.10012818,0.10833511,0.106233686,0.09995664,0.12886623
0.1210131,0.11848,0.12159729,0.11738516,0.11469606,0.13843648
0.11391252,0.10869634,0.10920744,0.10922931,0.11075958,0.120796695
0.121156804,0.11748838,0.11496992,0.124077626,0.13521296,0.12715012
0.116302416,0.1123888,0.11951513,0.1322652,0.1294809,0.13036124
0.12591052,0.12802844,0.13242358,0.14106405,0.1204073,0.1529707
0.13312368,0.121121556,0.12896949,0.13416006,0.12220149,0.15122746
0.122883156,0.1227282,0.12845871,0.13189536,0.11925054,0.13937858
0.13460714,0.13547231,0.13067155,0.14494544,0.1470026,0.14188391
0.11360195,0.113628015,0.11310738,0.111495994,0.108411156,0.13637848
0.12310479,0.11721109,0.1287219,0.13668434,0.13313088,0.12773518
0.12278611,0.11750367,0.12733066,0.14425957,0.13207288,0.13067813
0.109541155,0.11642405,0.11840848,0.13405776,0.10951487,0.12624611
0.11627063,0.11508721,0.12519896,0.116443925,0.11485301,0.14396653
0.11403529,0.13180818,0.118320875,0.13331084,0.1262655,0.11879602
0.09906104,0.103958145,0.10406177,0.11053139,0.109873,0.12934667
