assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.14978884,0.15673095,0.12170129,0.14282146,0.12028239,0.12730399,0.13474727,0.14264122,0.13441962,0.14403395
0.13540699,0.1315176,0.1079618,0.12564951,0.12642094,0.13276948,0.13450107,0.11258558,0.12987715,0.13682741
0.13764662,0.14253268,0.0995097,0.12679988,0.10384066,0.11687432,0.12102179,0.12843896,0.12444992,0.13014995
0.10956814,0.10905499,0.091759145,0.091100045,0.114788614,0.10486279,0.1294393,0.08853736,0.11860356,0.120068766
0.16234061,0.15128632,0.1254795,0.13381337,0.13976856,0.1289248,0.16277565,0.1593607,0.15701373,0.15174489
0.14049028,0.13856277,0.121567436,0.13112678,0.12446253,0.13438211,0.14127871,0.12643518,0.13560404,0.14269668
0.1547425,0.13199992,0.14039734,0.12991756,0.13564298,0.12691006,0.1784736,0.14766447,0.15171427,0.14559078
0.13063473,0.121175334,0.11151901,0.11988718,0.120734446,0.123352885,0.14901859,0.12174861,0.13512167,0.12662974
0.12086165,0.11858605,0.10994046,0.12528998,0.11189861,0.12641308,0.12033959,0.09660842,0.123615295,0.12760101
0.15389046,0.15212359,0.1255024,0.13765286,0.1288084,0.128746,0.14924544,0.15032966,0.14572565,0.14929496
0.14498755,0.14073855,0.11233093,0.12721045,0.117122315,0.12848458,0.13974062,0.13718653,0.13490784,0.13372639
0.14754198,0.15168929,0.13255881,0.15770353,0.12610547,0.14504136,0.15310569,0.1464773,0.15034056,0.14461343
0.16365248,0.1498974,0.12681465,0.14645441,0.12558469,0.12962045,0.18217947,0.15328951,0.15114434,0.15244533
0.121794045,0.11778797,0.102949746,0.13035037,0.08882239,0.104691446,0.14051837,0.1332818,0.112662256,0.11258084
0.09967513,0.112160206,0.11044918,0.102510445,0.09561831,0.108341746,0.10925656,0.09499331,0.09817162,0.09703265
0.105676845,0.10412169,0.11977426,0.09874397,0.10176374,0.09372753,0.10768038,0.093890615,0.10245565,0.09997364
0.14794712,0.13993433,0.10542162,0.13186815,0.118637376,0.13087177,0.15086487,0.13143922,0.13823673,0.14171304
0.13600251,0.115168035,0.13086003,0.12511297,0.119805336,0.12756641,0.16044387,0.11998269,0.13080837,0.13072225
0.13338748,0.15235214,0.109501645,0.14341448,0.11031588,0.12913789,0.12661777,0.12724015,0.13060042,0.13223137
0.14483747,0.13119183,0.09956213,0.11510404,0.108668044,0.11517364,0.13566233,0.14048839,0.13017893,0.1299896
0.16619906,0.1296935,0.1379815,0.13706666,0.12654848,0.12676595,0.19227734,0.15301444,0.16438572,0.15211755
0.1127931,0.13767543,0.08782338,0.10968669,0.09747981,0.111989856,0.102304794,0.11659836,0.107835695,0.1093629
0.13287424,0.15751524,0.11308048,0.14115605,0.119205505,0.12654902,0.12863594,0.123771,0.13119595,0.13242953
0.13186122,0.12202819,0.10195051,0.1090732,0.105750814,0.105273634,0.11765411,0.11913175,0.116280966,0.12234988
0.13373499,0.15161216,0.1036867,0.12672953,0.11348578,0.12279336,0.121942475,0.13018648,0.1288839,0.1309974
0.13980165,0.14668746,0.11364656,0.14025483,0.12121175,0.1313851,0.1427927,0.13779719,0.14254388,0.13739316
0.16278137,0.13301061,0.12651086,0.13938388,0.1205917,0.13013577,0.13861687,0.137708,0.13819084,0.14830545
0.15755105,0.13619897,0.11156298,0.12555324,0.12426932,0.13239302,0.14511386,0.14537212,0.13911559,0.14964104
0.16942734,0.16117385,0.13052906,0.14434363,0.13339303,0.14224665,0.16562042,0.15314563,0.16030857,0.16161497
0.16767582,0.18183725,0.15989007,0.18557635,0.14270519,0.15538016,0.17441659,0.15899062,0.16579631,0.16077079
0.15557398,0.15301132,0.11920539,0.13385083,0.1316448,0.13250726,0.16094415,0.14751416,0.15290539,0.14898519
0.17858413,0.16676638,0.15094848,0.18334845,0.14274216,0.15923703,0.18256398,0.16513021,0.16957353,0.1647123
0.13575158,0.13371472,0.10352439,0.13116276,0.109016106,0.1268615,0.12588805,0.123558775,0.12747844,0.13336872
0.17114204,0.1432249,0.12494264,0.1394752,0.121794775,0.12791644,0.17573865,0.15980035,0.14732827,0.15420522
0.15063393,0.14190722,0.11824677,0.13781448,0.1196676,0.13094336,0.14507037,0.13883735,0.13492765,0.14712273
0.14687026,0.12521258,0.12708294,0.12997119,0.12291154,0.12650101,0.16771969,0.13413915,0.13963722,0.13686351
0.17912973,0.16150357,0.15768017,0.17359167,0.14401715,0.15000033,0.19369747,0.16860275,0.17321147,0.16659725
0.1720522,0.15305696,0.121914014,0.14752796,0.1261867,0.13485998,0.16722396,0.15300475,0.14897916,0.16273329
0.16326684,0.16469802,0.1527251,0.1637461,0.13326864,0.13854109,0.17182565,0.16225442,0.15488093,0.15311024
0.12998852,0.12741911,0.11138607,0.122701935,0.11629794,0.11972321,0.14194147,0.12557778,0.13462377,0.124371774
0.15615244,0.15936215,0.11327289,0.13685279,0.12477854,0.12871546,0.1496304,0.15515374,0.14609598,0.14864495
0.19704606,0.16980901,0.18179569,0.17861383,0.17567194,0.16545396,0.22615716,0.19121295,0.20811486,0.18173473
0.15165979,0.14779657,0.12041056,0.13826339,0.13121414,0.13934599,0.14226687,0.13960251,0.14239582,0.14756268
0.1448021,0.13546914,0.10943883,0.12442103,0.11349148,0.11710194,0.14167567,0.13073951,0.120827846,0.13629325
0.14502594,0.1397941,0.113395564,0.13074431,0.12101481,0.13029441,0.13586037,0.12997802,0.13767698,0.14152104
0.13637643,0.13727435,0.09266766,0.10503483,0.11312991,0.11282985,0.12393687,0.13189599,0.12740569,0.13247162
0.13670897,0.12701617,0.10834437,0.124815516,0.12025872,0.12742403,0.1309723,0.1220487,0.13584599,0.13790818
0.14814632,0.14502814,0.121972285,0.13619967,0.12881288,0.13665308,0.14171858,0.13801667,0.14965273,0.14447531
0.1144521,0.12787159,0.09449508,0.107926846,0.09520057,0.10684283,0.10971499,0.113997035,0.101862974,0.111572534
0.15321411,0.14697863,0.14261265,0.14465804,0.13079253,0.13880001,0.1592527,0.15107912,0.15038931,0.1413071
0.16392566,0.14093387,0.1303062,0.12674917,0.1325723,0.1267138,0.16036797,0.15654859,0.1446481,0.14676863
0.1644972,0.13902639,0.122915454,0.14050217,0.13500045,0.1395902,0.16578133,0.15486045,0.15248226,0.15505572
0.118693486,0.13988113,0.08909191,0.1120616,0.09858397,0.10427844,0.107265934,0.112356745,0.10774711,0.12288779
0.15306081,0.13352986,0.13911119,0.14035618,0.13964264,0.14032191,0.16950713,0.13481465,0.16071421,0.14783697
0.12957048,0.1326026,0.10530266,0.13388674,0.1135209,0.1325457,0.12000928,0.11951546,0.14010803,0.1312743
0.15715794,0.13982712,0.111581,0.12725757,0.13582128,0.14023499,0.1464553,0.14937776,0.15689355,0.15036404
0.08928108,0.10169573,0.09139944,0.08466657,0.09251049,0.08842261,0.1021567,0.09261215,0.09261764,0.08976395
0.12998886,0.12186682,0.10596558,0.11203688,0.12093037,0.12775984,0.1254142,0.121373266,0.13505964,0.13190943
0.1407347,0.12598047,0.102942385,0.11792786,0.11304158,0.120428,0.14832488,0.13710837,0.14237478,0.1280283
0.09269221,0.117406026,0.08914474,0.09073354,0.09182837,0.09382959,0.09304725,0.092578195,0.091783464,0.089437984
0.10514408,0.11567726,0.077168606,0.08332232,0.09424542,0.09438451,0.09225136,0.12253929,0.11103999,0.09808689
0.10241185,0.11789693,0.09194941,0.119679,0.0816595,0.1000724,0.10518128,0.1002825,0.091442905,0.09805191
0.15551835,0.15776727,0.12598222,0.15755187,0.1266721,0.141805,0.15856773,0.14320458,0.15178387,0.14854561
0.11541054,0.11564983,0.09475611,0.0943747,0.11145269,0.10324655,0.13084728,0.11366103,0.13195944,0.11516252
0.10129973,0.097899795,0.075721554,0.08200521,0.091095366,0.08775026,0.09738233,0.098875195,0.0936517,0.09656435
0.08878399,0.099964835,0.08039366,0.089591034,0.08353973,0.09120937,0.09198058,0.09076125,0.081394106,0.089143656
0.139054,0.13929746,0.13547516,0.12776,0.12122088,0.11930809,0.15367548,0.13803194,0.14204937,0.12823555
0.12522997,0.11140164,0.14624837,0.14117591,0.119779445,0.12984267,0.1532208,0.100614674,0.13351882,0.12192278
0.13335866,0.13254172,0.10644332,0.12330541,0.11754907,0.12395579,0.13050349,0.123779334,0.12903456,0.13002561
0.15912355,0.13615343,0.12240516,0.13777554,0.12992369,0.13887702,0.16337319,0.13985832,0.15086243,0.15760423
0.16052721,0.14378436,0.10944165,0.12993304,0.123575725,0.13049674,0.14859396,0.14936644,0.14023383,0.15006566
0.18821695,0.16220713,0.15723862,0.16250753,0.15350872,0.14776915,0.20048861,0.1803181,0.1857234,0.17045432
0.11433004,0.11702314,0.08611517,0.10126949,0.10085571,0.116964385,0.11314679,0.097380385,0.11255357,0.12032691
0.12475161,0.12028221,0.122676685,0.12135618,0.11697534,0.13210467,0.13749172,0.1263544,0.12386103,0.114200115
0.16148892,0.1355527,0.13661371,0.15195045,0.13238932,0.1451269,0.18258741,0.1447804,0.15930864,0.14934285
0.15016274,0.1347733,0.117278896,0.112122096,0.1266805,0.109026454,0.14170694,0.14013624,0.13921943,0.14901973
0.16842647,0.13400613,0.13696776,0.14372213,0.14038953,0.1441538,0.19507499,0.15092693,0.16359493,0.15696311
0.17038056,0.15847278,0.1503283,0.16723341,0.15232651,0.15951613,0.18192504,0.16969399,0.18310705,0.15918781
0.09132113,0.0935758,0.069895126,0.07966861,0.07985508,0.08498226,0.087377846,0.08873636,0.08402345,0.089109585
0.12900968,0.13004504,0.1093532,0.122452766,0.116058536,0.12178233,0.14036459,0.1169366,0.12693033,0.13090935
0.09839022,0.118344754,0.09482727,0.12282728,0.08875905,0.10213072,0.09688931,0.10565459,0.10253229,0.093124576
0.16848339,0.1522174,0.13793623,0.1349068,0.14110878,0.13718219,0.17493126,0.15346332,0.15996844,0.16397227
0.15702933,0.14171648,0.13020492,0.1276845,0.14478166,0.13681465,0.16504906,0.13613534,0.15697795,0.15571801
0.12413402,0.11290831,0.09732902,0.094555594,0.11559807,0.102997616,0.13412686,0.10457759,0.120978795,0.12653546
0.13562123,0.1488151,0.109163985,0.12812902,0.11801405,0.12349832,0.12838528,0.13533609,0.1385382,0.1316111
0.14247997,0.12536901,0.11143978,0.12809399,0.11224112,0.124067776,0.1552113,0.14590527,0.14018457,0.12817325
0.11439766,0.12327193,0.081116185,0.10012948,0.08916461,0.105447605,0.099664874,0.111528866,0.10152796,0.10939224
0.13462149,0.13329926,0.106008045,0.12358366,0.11751109,0.13060322,0.12834974,0.119347304,0.13373819,0.13116457
0.1300897,0.14944148,0.104123786,0.13044447,0.10043313,0.11395281,0.13204318,0.13079037,0.119762406,0.12053764
0.14543507,0.1311208,0.096952714,0.123708114,0.11897035,0.13060908,0.12832765,0.12214414,0.13145775,0.14556068
0.12802622,0.13623527,0.09648352,0.122736245,0.09860755,0.11106122,0.11768728,0.12724857,0.11084885,0.11862766
0.16638961,0.15117507,0.119681984,0.14139923,0.14031275,0.14464314,0.161113,0.1511104,0.1606307,0.16249841
0.10291183,0.11461316,0.0871883,0.08326908,0.08847504,0.084617876,0.091144554,0.104836755,0.08394741,0.09481381
0.11625869,0.12540907,0.108756654,0.10334803,0.10998392,0.105871774,0.12717475,0.120559245,0.11675126,0.1102795
0.14204434,0.1295617,0.1460465,0.12000466,0.14140248,0.11580233,0.1768539,0.13239907,0.14151825,0.13633998
0.09927957,0.12174299,0.084252276,0.10646251,0.08669084,0.09459157,0.09851456,0.10234102,0.09368078,0.092072494
0.14556816,0.1364811,0.123167425,0.12227319,0.12836798,0.12394939,0.14034918,0.14053953,0.14233239,0.13869286
0.17459472,0.15308182,0.12650263,0.15444407,0.13349089,0.14585079,0.16288929,0.16218576,0.15306191,0.1623967
0.11523177,0.12107842,0.08774709,0.11030483,0.08737564,0.096226186,0.103516094,0.11251002,0.10118112,0.1077828
0.07880121,0.096431635,0.07357101,0.082263574,0.07382155,0.085260965,0.07911255,0.08155415,0.077708304,0.080506966
0.15604246,0.14262491,0.11316922,0.13165511,0.12451246,0.12994987,0.16093273,0.14227664,0.14682777,0.1473315
0.10326549,0.13511312,0.08817466,0.10911832,0.09183269,0.10656904,0.09929321,0.10095001,0.10262725,0.10265119
0.14346236,0.1394408,0.104015455,0.13791135,0.11614158,0.13246298,0.1343705,0.13078322,0.13058132,0.1456326
0.139054,0.13929746,0.13547516,0.12776,0.12122088,0.11930809,0.15367548,0.13803194,0.14204937,0.12823555
0.13682212,0.133204,0.096255094,0.115486875,0.10380425,0.1119688,0.1286371,0.13235287,0.115965,0.12839557
0.15120043,0.1377976,0.108083844,0.12268084,0.11166673,0.11938122,0.14498158,0.15073201,0.13199972,0.13616115
0.1483517,0.13738476,0.11160128,0.11955518,0.12349817,0.12561288,0.14257255,0.14202228,0.13920474,0.14252268
0.13236186,0.10810897,0.10425286,0.11972815,0.10375038,0.115225114,0.14512274,0.11057794,0.12310622,0.12375329
0.14195518,0.14177243,0.100297734,0.114712596,0.11707212,0.1155957,0.13142332,0.1428513,0.13385437,0.13556857
0.12304399,0.13112515,0.107323766,0.12831096,0.10311573,0.1154359,0.119631976,0.12114056,0.114504255,0.119574964
0.106346786,0.11131149,0.10048578,0.11764852,0.092042364,0.10755347,0.11847166,0.09243944,0.094316624,0.10827566
0.15666519,0.12474366,0.12263133,0.12107446,0.13195913,0.13675524,0.16010721,0.13899425,0.15462229,0.14484574
0.15575384,0.15077041,0.13356566,0.15069468,0.1386381,0.14768083,0.16524714,0.14139527,0.15926604,0.15554295
0.14483652,0.14547019,0.103950664,0.12850335,0.1171156,0.12530102,0.12837753,0.13565391,0.13321194,0.1367862
0.16248491,0.14410923,0.1285583,0.1559702,0.11972524,0.13505849,0.16939451,0.14146058,0.14995375,0.15200666
0.13369265,0.15046383,0.11027927,0.13334292,0.1148965,0.12477787,0.12219347,0.1251776,0.12546624,0.12993895
0.1420592,0.13748907,0.11016751,0.11760074,0.11735407,0.12034412,0.12638088,0.13300443,0.12675129,0.13343117
0.14328484,0.14003862,0.1246557,0.13346532,0.122682765,0.123846024,0.14520532,0.13903037,0.13762946,0.13701981
0.16134754,0.14620772,0.12160353,0.14807671,0.13882567,0.15341954,0.164397,0.14152683,0.16570963,0.16047768
0.16765364,0.14048171,0.115540944,0.13141206,0.13230178,0.13877991,0.16550417,0.14789659,0.15676838,0.15606004
0.16593002,0.124317884,0.1276541,0.1171577,0.12297589,0.11812808,0.17906615,0.15257719,0.15135147,0.15274112
0.14261253,0.122786805,0.112159304,0.12215478,0.11735977,0.12930308,0.16203198,0.13393658,0.1379839,0.13033298
0.11107583,0.12421365,0.097571716,0.10288948,0.101141,0.10290971,0.111923255,0.1079572,0.110254444,0.1130348
0.10685286,0.11108403,0.089358054,0.09981799,0.08795711,0.09607393,0.10927404,0.105367914,0.09667516,0.102298744
0.16659333,0.15715335,0.13000056,0.16208848,0.12717773,0.1474674,0.16793655,0.15483592,0.15638234,0.15307711
0.13814025,0.12271743,0.10287361,0.11327071,0.11146077,0.11264424,0.13611832,0.13597259,0.13316087,0.1267848
0.135153,0.1505677,0.11822497,0.13770473,0.116745226,0.12424598,0.12944458,0.13422413,0.12784682,0.12776537
0.15754278,0.13765402,0.1263579,0.14640626,0.12624092,0.1306817,0.17625149,0.14728999,0.14844947,0.14716195
0.14162631,0.13677433,0.10537922,0.10922704,0.12045555,0.113043696,0.13017121,0.13355812,0.12898713,0.1372899
0.19262406,0.16332214,0.14959152,0.15145361,0.1533905,0.14594711,0.1984661,0.16860433,0.18194847,0.17988321
0.15915705,0.16190998,0.1282646,0.16604774,0.13303581,0.15291275,0.15762986,0.14213632,0.15453616,0.15194085
0.10691661,0.100964926,0.10352007,0.092000835,0.095012605,0.08782973,0.109845005,0.10227986,0.10202054,0.10450983
0.15534562,0.16303423,0.124644,0.1452113,0.14102401,0.14182922,0.15223423,0.1397738,0.16021207,0.15488437
0.13159083,0.14076993,0.11867086,0.12887655,0.112646915,0.12312817,0.13534586,0.11703965,0.12864028,0.12607922
0.12462475,0.12520336,0.09082044,0.10226556,0.10602356,0.10910452,0.119158685,0.12356665,0.11928906,0.12095203
0.10423955,0.09802168,0.08361176,0.08471523,0.10589233,0.09973611,0.1331931,0.098479405,0.10815206,0.11084778
0.11508862,0.10517307,0.10531481,0.109773375,0.11685982,0.12564497,0.128338,0.10252824,0.124772675,0.120764
0.1539468,0.13471107,0.10579225,0.12727089,0.12302752,0.13300751,0.14360505,0.13446915,0.14113142,0.1483552
0.119008236,0.10840249,0.10790492,0.10782942,0.123500414,0.1340372,0.12953325,0.119573414,0.12953985,0.11695476
0.13530971,0.11697922,0.11824169,0.11919431,0.12038143,0.1249447,0.12443868,0.116371624,0.13053338,0.1305986
0.12892964,0.115813345,0.099429645,0.1089046,0.10277486,0.1090188,0.12321776,0.13080655,0.11886134,0.114380494
0.16233212,0.12829013,0.109573476,0.116950035,0.11233408,0.11255062,0.16493616,0.14808422,0.13958186,0.14922962
0.1169851,0.11714954,0.08059598,0.09562468,0.08924189,0.096029796,0.10904107,0.11303436,0.0960147,0.108454116
0.13265026,0.1520679,0.10383945,0.13028221,0.113258794,0.120316386,0.121229775,0.12821797,0.12781486,0.13109818
