assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.13406421,0.1253754,0.10155612,0.1163798,0.107386775,0.113076635,0.12864375,0.13136105,0.13560086,0.12531424
0.11914977,0.11293192,0.08126249,0.08254912,0.098736286,0.08906641,0.105896704,0.13243598,0.10580888,0.11133556
0.10345367,0.10490217,0.08888075,0.09009723,0.09457294,0.09186494,0.10855452,0.10570933,0.1036857,0.09762232
0.17473012,0.13696572,0.12857576,0.1249486,0.13911207,0.12748007,0.18480611,0.15936716,0.16437517,0.15998743
0.10454118,0.104423985,0.08898656,0.08994588,0.094870485,0.09215333,0.10863041,0.106549434,0.10417084,0.09831707
0.11272276,0.12534145,0.09043171,0.09481687,0.104196705,0.097468905,0.11369507,0.1306763,0.116103165,0.10756278
0.12654504,0.11146245,0.10360353,0.116461955,0.10703772,0.115405545,0.13281906,0.13801418,0.13319759,0.11673726
0.117174186,0.124109864,0.08336447,0.092530735,0.09358989,0.09424404,0.10697285,0.13313495,0.10321318,0.110082746
0.14003906,0.14564122,0.12536126,0.12351566,0.124304466,0.12282659,0.15566021,0.1397976,0.14507735,0.13416909
0.11418436,0.11066014,0.08586371,0.095387526,0.09751431,0.10117937,0.11773072,0.123107344,0.12164271,0.10806881
0.1207599,0.12216513,0.0894197,0.0914043,0.100600995,0.09578055,0.11450667,0.13587381,0.11048927,0.11133562
0.12878036,0.12287843,0.09109622,0.08335518,0.11961843,0.09983726,0.12680548,0.116020545,0.12768173,0.12334592
0.13056302,0.13045895,0.09623381,0.09125393,0.12900594,0.10741356,0.13458984,0.1360197,0.15217814,0.1284384
0.106198736,0.105113566,0.08228762,0.089037314,0.09024008,0.08957539,0.09891035,0.12229391,0.105695814,0.09570827
0.1556708,0.13810033,0.111667596,0.10446963,0.13857028,0.11452203,0.17188771,0.1486696,0.16465732,0.15620117
0.15763023,0.13698591,0.12002199,0.11790364,0.13269241,0.12631172,0.1768971,0.15106109,0.16025747,0.14777699
0.13316585,0.12541477,0.0963037,0.109967984,0.113568015,0.1158248,0.12882464,0.14425999,0.13887328,0.12595496
0.13538678,0.13158977,0.09654735,0.10589199,0.1203126,0.11320906,0.12699279,0.14044118,0.13561499,0.13261253
0.1108847,0.116509765,0.091883875,0.0945769,0.094359525,0.09434637,0.109382994,0.1206543,0.108826615,0.10262435
0.11686863,0.12703893,0.09287692,0.094953746,0.10917186,0.09971011,0.112758875,0.11634682,0.11973775,0.11543191
0.10167896,0.1304172,0.10075106,0.10320759,0.112439275,0.101495504,0.11431072,0.09651711,0.11573596,0.1098927
0.13774289,0.1334368,0.118075885,0.11244078,0.1291969,0.11621866,0.14517127,0.12892751,0.14454834,0.13688597
0.10837763,0.11572885,0.08467116,0.1002523,0.0933897,0.100802414,0.10291603,0.11403931,0.108692154,0.106165156
0.09940424,0.09950321,0.080736585,0.08434552,0.09272079,0.09116182,0.097097166,0.102896065,0.097537525,0.09114894
0.102973625,0.10848826,0.07333664,0.07980808,0.08843356,0.08736379,0.089778624,0.111433856,0.0948831,0.09690949
0.12750183,0.12687548,0.10733519,0.11099139,0.10952693,0.11366609,0.12308133,0.12849309,0.13263954,0.12189147
0.11449724,0.109120406,0.08426176,0.09521597,0.0914905,0.09780519,0.11388102,0.118956566,0.10694705,0.10484144
0.12341064,0.11929,0.08946149,0.09456683,0.11073016,0.103588566,0.13140337,0.122653715,0.13740441,0.122954786
0.13857,0.124071606,0.09867983,0.09360853,0.12828371,0.109864,0.1305178,0.12728548,0.14800052,0.14026521
0.12365708,0.12925479,0.090509646,0.09913804,0.1015226,0.10190853,0.1171494,0.12768422,0.11504434,0.11830773
0.132377,0.13078299,0.0936522,0.101332754,0.10729327,0.103674114,0.12136118,0.14218304,0.123977385,0.12550633
