assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.12208498,0.11606281,0.106842004,0.1102505,0.111208804,0.11700328,0.118557885,0.11670965,0.12314778,0.121174425
0.11485297,0.10623768,0.09288719,0.09213397,0.09290572,0.08901207,0.109824404,0.10318613,0.09628029,0.103727415
0.12910289,0.13337582,0.11142343,0.14014778,0.1120923,0.120790124,0.12157457,0.11652204,0.12635228,0.12585697
0.1295209,0.11537479,0.11694178,0.10464699,0.11120479,0.10373125,0.1591987,0.12293819,0.13863401,0.12342772
0.09098687,0.10416643,0.08124647,0.103352696,0.085005924,0.103392035,0.0881566,0.0932236,0.09184252,0.0962711
0.10974517,0.11612391,0.09319889,0.09808428,0.10946148,0.10479729,0.111057095,0.11546019,0.12583405,0.112068675
0.10502671,0.11025136,0.097648226,0.10425722,0.101410516,0.109893516,0.10851043,0.108495,0.11009566,0.101526074
0.09545887,0.11431795,0.11384285,0.10073842,0.10544787,0.097349904,0.10637133,0.09149051,0.11052409,0.09475504
0.10315116,0.10916062,0.10378498,0.1058918,0.09798789,0.0984362,0.11457227,0.10502712,0.09699943,0.101259254
0.10470608,0.11709404,0.11977239,0.11946698,0.100136675,0.10206933,0.11718047,0.1087956,0.11343471,0.09953365
0.10733093,0.10580461,0.11154496,0.10635655,0.099358454,0.09977449,0.116704345,0.11378265,0.099491715,0.09560515
0.10666561,0.1061832,0.079499215,0.09576031,0.08641264,0.10008045,0.10985586,0.10379343,0.10049676,0.10198116
0.11647673,0.11241479,0.124163434,0.1098142,0.105332255,0.10746225,0.12719494,0.11712876,0.12197892,0.109135345
0.119497545,0.12121148,0.08378146,0.103303485,0.09499458,0.10902633,0.1048227,0.1089949,0.11594661,0.11505454
0.09957822,0.10564245,0.08100324,0.089273594,0.08742387,0.100520745,0.09540563,0.107697435,0.09637906,0.09765665
0.10207914,0.10460469,0.094771944,0.09216892,0.09428382,0.09765484,0.11152698,0.09597151,0.09470141,0.10403813
0.11442648,0.11124427,0.112583,0.105987675,0.10528654,0.103151426,0.124525405,0.10756372,0.11339764,0.11430401
0.08431447,0.094177,0.07332838,0.08025597,0.08258676,0.09510578,0.07249994,0.09248356,0.0825409,0.078230575
0.0929443,0.08380544,0.09359803,0.08945061,0.09091451,0.10385235,0.105211936,0.09578279,0.098411255,0.087831035
0.11084896,0.11540291,0.09251196,0.098158166,0.095075935,0.095767654,0.1048174,0.0965375,0.10331211,0.108634256
0.1172403,0.11249073,0.11020918,0.109368145,0.11025079,0.10905678,0.12726444,0.12074273,0.12661687,0.10930999
0.13616036,0.13097258,0.11322748,0.116632216,0.12968658,0.12703952,0.12980169,0.11822388,0.14068127,0.1347545
0.1317506,0.1263894,0.11428793,0.13730446,0.11549411,0.13153571,0.12969811,0.114767335,0.12739594,0.12990585
0.1320254,0.12710156,0.12172438,0.13128659,0.12080074,0.12811098,0.1264225,0.12928626,0.12233831,0.12921289
0.12009784,0.11717558,0.1015764,0.11053263,0.092699856,0.10235561,0.13123724,0.12277295,0.11064247,0.112738
0.12133149,0.12553495,0.094775446,0.10636246,0.10333266,0.106852144,0.12774864,0.11366312,0.119505845,0.12321455
0.119165525,0.11204498,0.08594056,0.10065707,0.08840618,0.10146857,0.096108615,0.11056277,0.095130675,0.10839323
0.1443424,0.12827425,0.10757968,0.11782877,0.12587033,0.12503333,0.12815003,0.11920707,0.12843466,0.14510702
0.12241107,0.11870168,0.11867543,0.12249506,0.11711357,0.12310385,0.11814274,0.11558639,0.1232979,0.12821509
0.113791026,0.117739156,0.09266302,0.09639043,0.10700772,0.10501716,0.11496799,0.10567981,0.10801877,0.11413796
0.12377217,0.11730997,0.104601614,0.10479911,0.09843085,0.10065232,0.14894143,0.110909276,0.12106469,0.11622216
0.094766945,0.105442144,0.07836353,0.09175943,0.08166685,0.09125903,0.0981912,0.09575947,0.09393145,0.08867247
0.11463182,0.14073828,0.10018825,0.118092,0.107248925,0.114966266,0.1102956,0.10830151,0.1180079,0.117566556
0.11075563,0.11299595,0.13781764,0.13205361,0.106533706,0.112404324,0.124964416,0.116282076,0.10916016,0.10253114
0.095926814,0.105734795,0.07940587,0.08013778,0.095568754,0.08842287,0.09398999,0.11022332,0.09947859,0.091291994
0.1055475,0.1158934,0.0978726,0.10260072,0.1062309,0.10664043,0.10162062,0.11038049,0.11125639,0.10244865
0.11144154,0.106704704,0.09928096,0.1163973,0.09814181,0.119531065,0.123022646,0.10669463,0.117029645,0.107531294
