assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.106969245,0.10822148,0.11184067,0.09995046,0.0916829,0.09190776,0.11909867,0.0965079,0.10186692,0.1008094
0.13541138,0.124222524,0.13265966,0.14352784,0.11189953,0.12695172,0.16058007,0.12438417,0.14478703,0.12916808
0.11613654,0.11724946,0.09035611,0.10038365,0.10028864,0.104274444,0.111972116,0.11344319,0.1112717,0.108542174
0.10858854,0.11517437,0.10700901,0.10404946,0.09191055,0.09914341,0.13386391,0.09676672,0.10689483,0.10708526
0.11243578,0.1113593,0.1229481,0.13129963,0.106783845,0.11649381,0.14281073,0.10833665,0.12471419,0.11214033
0.116358206,0.11027931,0.102672234,0.1076696,0.09443414,0.10647507,0.13193884,0.099663265,0.102183804,0.10975621
0.118327074,0.11420246,0.114418834,0.11180032,0.10364451,0.108660646,0.13980979,0.111658946,0.121393375,0.11607116
0.13900924,0.11933395,0.11687598,0.115018085,0.10667206,0.108064495,0.1483309,0.14224324,0.11769911,0.12413138
0.113665864,0.10639615,0.10689295,0.103766076,0.09483833,0.09495809,0.12469779,0.11311148,0.10377487,0.11008444
0.10485201,0.11193448,0.114368916,0.10652833,0.10103553,0.10216261,0.123490155,0.09820349,0.10312141,0.09951537
0.108916946,0.11177177,0.10936805,0.10399556,0.09669519,0.09849211,0.11904159,0.10265177,0.1099919,0.103345245
0.105769135,0.10690234,0.10100919,0.09791641,0.09256286,0.09320464,0.10998504,0.105748266,0.09594727,0.09440175
0.119291775,0.10476176,0.09710254,0.102403775,0.10181783,0.098894976,0.11701015,0.11103699,0.103510454,0.11837066
0.11867871,0.114375845,0.10935516,0.11088278,0.106358394,0.11285324,0.13520947,0.10703223,0.11963304,0.11593489
0.10355011,0.112395085,0.09669639,0.10900945,0.094677694,0.11266094,0.11398485,0.10316659,0.10694008,0.105344094
0.10347276,0.10222736,0.09726373,0.084118985,0.10925356,0.096900895,0.12610537,0.09029191,0.10641824,0.107167214
0.09435236,0.09506538,0.102064386,0.09123144,0.09048937,0.08881143,0.1002307,0.10539261,0.094074085,0.08674616
0.10573901,0.11210423,0.116209954,0.106879,0.10083631,0.10308374,0.1271357,0.09906283,0.10488011,0.10332506
0.101837344,0.106118105,0.11094068,0.09941266,0.09827813,0.09610612,0.109561205,0.09841549,0.098831,0.09712642
0.1281884,0.11950476,0.13134864,0.11999284,0.11793349,0.11105239,0.15696517,0.12479128,0.12883656,0.12211412
